review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,굿^^깔끔해여!,vivi****,18.05.23.,2,신발장,수납가구
,,,,,,,
2,5,완전 만족해요^^,drun****,16.09.29.,2,신발장,수납가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,4,깔끔해요 나사가 좀 안 맞았던거 빼고 좋아요,rahe****,21.01.31.,4,신발장,수납가구
,,,,,,,
2,5,하하하;;; 제 불찰입니다 ㅠ 전 완제품일줄 알고 ㅠㅠ 전에 수납장 산게 완제품으로 와서 물어도 안보고 덜컹 샀는데.. 물건 받고 겁나게 무거워 전 사람 있는줄 알았습니다 ㅋ 열어보고 멘붕 ㅠ 동영상 보내주셔서 딸은 동영상 돌리고 멈추고 돌리고 하고 언니랑 여자 둘이 꼬박 2시간 조립했습니다 ㅠ 해놓으니 이쁘고 좋긴 하던데 어제 조립하고 피곤해 기절했습니다 ㅋㅋ 근데 수납 무지 많이 됩니다. 한칸에 6켤레씩.. 남자분이 하면 금방 했을텐데 울집 남자는 쓸데가..ㅠㅋㅋ 무튼 하고나니 좋은건 좋네요~^^,juin****,20.09.05.,4,신발장,수납가구
,,,,,,,
3,5,만  족  삽  니다,wood****,20.11.21.,4,신발장,수납가구
,,,,,,,
4,5,이뻐요~ 힘들게 조립해 더 ㅇㅐ착이 가요 ㅎㅎ 공간도 많이 차지 안하고 좋아요,juin****,20.10.07.,4,신발장,수납가구
,,,,,,,
5,4,만 족  힌ㅂ 니다 조립이 어려웠어요,wood****,20.10.15.,4,신발장,수납가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,튼튼하니 이쁘고 배송도 빠르네요,asea****,20.03.25.,10,신발장,수납가구
,,,,,,,
2,5,튼튼하고 옆 망사때문에 투박해보이지 않아요,char****,20.03.26.,10,신발장,수납가구
,,,,,,,
3,5,조립도쉽고 튼튼하고 나무색상이고급스럽네요,sims****,20.01.23.,10,신발장,수납가구
,,,,,,,
4,5,우선 사진과 똑같고 너무 예뻐요ㅎㅎ 현관에 뒀는데 튼튼하기도 해서 앉아도 좋더라고요ㅎㅎ 옆에 망으로 되어있는 부분도 너무 귀엽고 앙증맞아여 다들 현관의자 생각하시면 구매하시면 좋으실것같아요,tkqh****,19.12.21.,10,신발장,수납가구
,,,,,,,
5,3,모양도 이쁘고  조립도 쉽고 한데...조립 8개 중 1개가 나사를 조여도 딱 맞지가 않네요 반품도 귀찮고해서 그냥 쓰는데..좀 아쉽네여,pw10****,19.03.25.,10,신발장,수납가구
,,,,,,,
6,4,"일반 벤치 신발장 보다는 예뻐요
근데 마감부분이 6만원짜리 같아보이지는 않아서 조금 아쉬워요",lizg****,19.02.25.,10,신발장,수납가구
,,,,,,,
7,4,깔끔하고 예쁘네요.,cyeu****,18.11.20.,10,신발장,수납가구
,,,,,,,
8,5,신발장 신발장으로 2개 구매했어요 원목 주택인데 집이랑 잘 어울리고 저렴한 것에 비해 퀄리티도 괜찮아요 추천합니다!,kkhg****,18.09.07.,10,신발장,수납가구
,,,,,,,
9,5,깔끔합니다,kkhg****,18.09.07.,10,신발장,수납가구
,,,,,,,
10,5,"멋스러워요ㅎㅎ 색상도 맘에 들구요ㅎㅎ
신발정리대로 쓰긴 아깝네요ㅎ",nott****,18.06.03.,10,신발장,수납가구
,,,,,,,
11,5,만족 사무실 한켠에 실내화 두려고 샀는데 인테리어를 해치지 않고 이쁩니다. 만족스럽네요. 조립도 쉬워요,kty7****,18.05.21.,10,신발장,수납가구
,,,,,,,
12,4,사진 그대로~~ 저렴한 제품들과 달리 양쪽 망처리도 잘 되어 있고....군더더기 없이 깔끔하네요~~^^ 배송은 조금 느렸지만....만족합니다~~,loy0****,18.03.27.,10,신발장,수납가구
,,,,,,,
13,5,배송은 좀 느렸지만....제품은 깔끔하고 마음에 들어요~~,loy0****,18.03.27.,10,신발장,수납가구
,,,,,,,
14,5,맘에듭니다,octo****,18.02.25.,10,신발장,수납가구
,,,,,,,
15,5,"예뻐요. 추천 일단 배송 엄청 빨라요. 이틀만에 배송. 그리고 조립 너무 쉬워요. 혼자 뚝딱했어요. 그리고 무엇보다 이뻐요. 
원래 신발정리대로 쓰려고 현관에 두려했으나 왠지 아까워서 거실로 이동해왔어요. 잘어울리는거 같아서 좋아요",naji****,17.12.15.,10,신발장,수납가구
,,,,,,,
16,5,가격대비 아주 맘에 들어요 현관입구 전실에 자질구레한 장식품들을 놓을 마땅한 수납테이블을 찾다가 구매하게 되었는데 가격대비 예쁘고 참 잘샀어요 크리스마스 장식을 그 위에 했는데 흐뭇흐뭇~^^,tndk****,17.12.05.,10,신발장,수납가구
,,,,,,,
17,5,"현관 앞이깔끔하게 정리가 되네요
많이 파세요",mora****,17.12.16.,10,신발장,수납가구
,,,,,,,
18,5,예쁘네요. 만족스러워요,naji****,17.12.15.,10,신발장,수납가구
,,,,,,,
19,5,조립하기도 쉽고 가격대비 예뻐요~ ,tndk****,17.12.05.,10,신발장,수납가구
,,,,,,,
