review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,조립할때는 어우.. 너무 약한거 아닌가 했는데 조립하구 나서 전자레인지  커피머신  에어프라이기  그라인더 등등 올려놨는데 안정감있구 좋아요!!ㅎㅎㅎ예쁘네여 무료배송이기도 하구 하나 또 살꺼에용!!,qkrd****,21.04.03.,0,선반,수납가구
,,,,,,,
2,5,정수기가 싱크대 위에 있으면 아이들 키가 안닿아서 선반을 구입했어요^^ 싸이즈 딱 좋네요!!! 처음에 나가가 헛돌고 잘 안 박혀서 힘들다 생각했는데 어쨋든 드릴로 하니 완성 했어요~,ultr****,21.03.30.,0,선반,수납가구
,,,,,,,
3,5,조립하기 쉽고 예쁘네요~ 구옥으로 이사와서 물탱크? 가 있어서 1층을 조립 안했는데 그래도 튼튼한것같아요! 무거운거 올리지 않을거라소!! 가림용으로 샀는데 예뿌요,qkrd****,21.03.17.,0,선반,수납가구
,,,,,,,
4,5,"저 혼자 드라이버로 돌리다 버거워서 전동드릴 빌려와서 결국 남편이 조립해줬는데 고생한 보람이 있어요
이쁘네요~^^배송도 빨라서 좋아요",poss****,21.03.24.,0,선반,수납가구
,,,,,,,
5,4,괜히 시켰어요 . 나사가 아예 안들어가고 여자혼자 조립하는데 뻑뻐해서  손이 까질정도였어요,kmr1****,21.03.26.,0,선반,수납가구
,,,,,,,
6,4,조금 흔들려요. 각 선반 높이가 조금 아쉽네요. 에어프라이어가 안들어가네요,hkm8****,21.03.28.,0,선반,수납가구
,,,,,,,
7,5,약간 흔들리는 거 같은데 무난하네요,cool****,21.03.30.,0,선반,수납가구
,,,,,,,
8,5,상품설명과 동일합니다. 크기도 제가 원하던 사이즈고요 많이 파세요^^,appl****,21.03.20.,0,선반,수납가구
,,,,,,,
9,5,창고안에 넣고 신발놓기 딱좋네요. 사이즈도 여러가지라 좋아요~,snow****,21.03.18.,0,선반,수납가구
,,,,,,,
10,5,조립도 금방 했어요 빠른 배송 감사합니다 :),lolu****,21.03.21.,0,선반,수납가구
,,,,,,,
11,3,마감 및 센딩이 덜된느낌 가격대비 괜찮아요 대량 판매라면 리스칠이나 센딩처리만 잘된다면 굿입니다,rhda****,21.03.15.,0,선반,수납가구
,,,,,,,
12,4,부실한거같은데 쓸만해요 가운데 없애고 2단으로 쓰는중입니다,semd****,21.03.17.,0,선반,수납가구
,,,,,,,
13,3,디자인과 색상 맘에 들어요‥사이즈도 철제선반 밑에 딱 맞구요,jung****,21.03.14.,0,선반,수납가구
,,,,,,,
14,5,원래 하나만 있었는데 조합하니 매트리스 틈새 폅탁으로 딱이네요.,muza****,21.03.12.,0,선반,수납가구
,,,,,,,
15,5,제가 원하던 사이즈...오일 바르고 좀 손 봤어요,nsis****,21.03.15.,0,선반,수납가구
,,,,,,,
16,3,"아....   싼가격에 샀지만 나무결이 너무 아쉽네요;;;
그냥 둬도 되지만 혹시나 애들 가시박힐까봐  사포사서 문질러야겠어요
다음에는 돈 좀 더주고 괜찮은거 사야겠어요




미루고 미루다가 다잇소에서  사포사서 약간 밀어주고  조립했어요
와우 해 놓으니 생각보다 이쁘네요
별  1개에서 3개로 바꿔요~",bora****,21.01.26.,0,선반,수납가구
,,,,,,,
17,4,약간 조잡하긴한데 저렴하게 잘산듯해요,dark****,21.04.01.,0,선반,수납가구
,,,,,,,
18,3,"서랍형 제품인줄 알았는데 자석문이었네요 
안쪽 자석 문골이는 벌서 탈착되어 ㅠㅜ
타카 핀이 작아서 인듯 차라리  피스형고정이었더라면 좋았겠네요",rhda****,21.03.15.,0,선반,수납가구
,,,,,,,
19,4,조립하는게 조금 빡세네요 ㅎㅎ 그래도 만족!,gwan****,21.03.06.,0,선반,수납가구
,,,,,,,
20,5,아주 만족하며 잘사용중입니당,minj****,21.03.31.,0,선반,수납가구
,,,,,,,
21,5,가격대비 괜찮아요. 약간 나무에 가시가 튀어나올거 같아서 샌딩기로 싹 밀었어요. 좀 약해보이긴 한데 올라갈거 아니니까요.ㅎㅎ,orie****,21.02.18.,0,선반,수납가구
,,,,,,,
22,3,비싼감이 있네요..,umma****,21.03.29.,0,선반,수납가구
,,,,,,,
23,5,깔끔라고 조립도 쉬워 좋았어요,ikpa****,21.03.23.,0,선반,수납가구
,,,,,,,
24,4,가격대비 만족합니다. 근데 나사 구멍하나가 삐뚤어지게 뚫려있어 나사를 끝까지 돌리지 못하고 약간 흔들거려요. 전기드릴있으면 편했을텐데 손으로 하니 좀 힘들었지만 할만합니다(여자도),elle****,21.02.27.,0,선반,수납가구
,,,,,,,
25,5,색상도 동일하고 가격대비 좋습니다,juli****,21.02.27.,0,선반,수납가구
,,,,,,,
26,5,다용도로 쓰기편해요 아주좋아요,keul****,21.03.21.,0,선반,수납가구
,,,,,,,
27,5,짱짱하게 잘쓰고잇습니다,keul****,21.03.21.,0,선반,수납가구
,,,,,,,
28,1,"렌지대겸용이라는데 전자레인지 놓는데 우직근 하는 소리가 나더라고요. 불안해서 전자레인지 못 올려놨어요.
그리고 메이드인베트남이던데 좀만 힘주면 부러질것같아요. 약해요. 마감 별로에요. 환불하는게 일이여서 그냥 쓰려고요. 상품대비 가격이 많이 비싸네요. 절대 비추입니다.",9018****,21.01.23.,0,선반,수납가구
,,,,,,,
29,5,조금 약해보입니다만..잘사용하겠습니다~ㅎ,tom1****,21.03.19.,0,선반,수납가구
,,,,,,,
30,5,"배송도빠르고 조립하기도 쉽고 사진과 똑같아요
깔끔하고 예뻐요! 
다른사아트보다 더 저렴하게 구매했어요
감사합니다 예쁘게 잘 쓸게요",kim_****,21.02.28.,0,선반,수납가구
,,,,,,,
31,5,가격도 저렴하구 이뻐서 좋아요!!,xdar****,21.02.24.,0,선반,수납가구
,,,,,,,
32,5,튼튼하고 깔끔하니 좋네요. 조립도 그렇게 어렵진 않습니다,crea****,21.02.10.,0,선반,수납가구
,,,,,,,
33,4,만족해요~ 잘 사용할게요,okto****,21.03.10.,0,선반,수납가구
,,,,,,,
34,5,배송도 빠르고  조립도 편하고  사용하기 딱이네요,whba****,21.03.05.,0,선반,수납가구
,,,,,,,
35,3,전동드릴 있어야 쉽게 조립가능하고 못이 밖으로 끝부분이 밖으로 조금씩 나와있는게 있어 위험하네요,jung****,21.02.05.,0,선반,수납가구
,,,,,,,
36,5,배송 빠르네요 다만 피스구멍이 피스에 비해 작아서 보쉬전동드릴 꺼내서 겨우 조립했네요 ㅎ 대신 피스가 단단히 박혔으니 튼튼하겠죠 저렴한 가격에 잘 샀습니다 감사합니다,beau****,21.01.21.,0,선반,수납가구
,,,,,,,
37,5,"가격대비 상급
4단은 생각보다 높음
저에겐 3단이 딱인듯",j530****,21.02.27.,0,선반,수납가구
,,,,,,,
38,5,화분올려놓으니~~찰떡이네요**,tjdf****,21.02.09.,0,선반,수납가구
,,,,,,,
39,1,29일 입금 2월1일 배송 시작인데 받은날은 10일 장난하냐 사정이 있으면 연락이라도 하든가 그따위로 장사하냐?,jwt4****,21.02.12.,0,선반,수납가구
,,,,,,,
40,1,너무 약해도 낫사 돌리다가 깨저요,anfu****,21.01.24.,0,선반,수납가구
,,,,,,,
41,4,조립이 힘들다는 후기가 많아 걱정했는데 다행히 힘들지는 않았어요 튼튼해 보이지는 않지만 가격대비 괜찮네요,pcmh****,21.01.27.,0,선반,수납가구
,,,,,,,
42,4,구멍이 너무안맞아서 손 다나갔어요~,olzl****,21.02.03.,0,선반,수납가구
,,,,,,,
43,4,저렴한 가격에 만족합니다,jnar****,21.01.30.,0,선반,수납가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,조립도 쉽고 저렴해요 나무라서 그런지 흰 분진같은게 많이 묻어있는데 이 가격에 이정도 선반 산것만으로 충분히 만족스럽습니다,froz****,21.04.03.,1,선반,수납가구
,,,,,,,
2,4,가성비 좋고 조립 어렵지 않아요. 다만 가시가 꽤 있어서 조립 전에 사포질 꼭 추천 드립니다. 그것만 빼면 괜찮아요!,must****,21.04.05.,1,선반,수납가구
,,,,,,,
3,4,"싸고좋아요
가벼워서이동하기도좋고근데무거운건못올려요",osje****,21.04.07.,1,선반,수납가구
,,,,,,,
4,5,다용도로 쓰기 좋아요 조립하기도 쉬웠어요,wjdd****,21.04.06.,1,선반,수납가구
,,,,,,,
5,5,"가성비 좋구요 조립도 쉽고 튼튼해요.
아래 공간에 수납하고 위는 화분이나 장식물 올리면 될듯요.가라는게  없어서 콘센트 꽂을때도 불편하지 않아요.",long****,21.02.28.,1,선반,수납가구
,,,,,,,
6,5,우선 나무자체는 단단해요! 흔들림리나 그런거 전혀 없어요. 저는 선반에 올려놓을게 많아서 가림천으로 가렸는데 선반자체가 예뻐서 가림천 없어도 예쁠것같긴해요. 아 그리고 드라이버는 꼭 필요할거같아요.,theb****,21.03.19.,1,선반,수납가구
,,,,,,,
7,5,마감이 조금 거칠긴 하지만 가격대비 만족합니다,kuku****,21.03.13.,1,선반,수납가구
,,,,,,,
8,5,제가원하던 사이즈입니다 조립도 아주쉽고 만족합니다,lumo****,21.04.01.,1,선반,수납가구
,,,,,,,
9,5,감사합니다?사진하고똑같아요^^,mihy****,21.03.30.,1,선반,수납가구
,,,,,,,
10,5,"짱짱하니 쓸만해요~ 부담되지 않은 중량이고요~
제가 0.1톤인데 앉아봐도 멀쩡하네요~",mali****,21.03.17.,1,선반,수납가구
,,,,,,,
11,3,잘 사용중이요.  이거 활용좋으나 견고한거는ㅜㅜ,jubi****,21.02.19.,1,선반,수납가구
,,,,,,,
12,5,배송도 빠르고 좋아요,rjft****,21.02.23.,1,선반,수납가구
,,,,,,,
13,4,좁은 공간인데 물건이 많아져서 딱 필요한만큼 들어가서 좋네요 조립쉽고 재질도 깨진곳없이 좋아요 배송도 빠름,oua0****,21.02.03.,1,선반,수납가구
,,,,,,,
14,3,"앞뒤는 괜찮은데  좌우로 흔들흔들~
느린 배송 만큼 불안불안하네요..",rgrg****,21.03.06.,1,선반,수납가구
,,,,,,,
15,3,나사 돌리는데 계속 돌아가고 고정이 되지 않네요.  반품 귀찮아 그냥 씁니다.,jubi****,21.01.28.,1,선반,수납가구
,,,,,,,
16,5,너무마음에들어서 재구매했어요,algh****,21.02.28.,1,선반,수납가구
,,,,,,,
17,5,색상이 예뻐요! 튼튼하구 깔끔해요!,liuh****,21.02.04.,1,선반,수납가구
,,,,,,,
18,5,조립도 쉽고 좋아요,mj52****,21.02.09.,1,선반,수납가구
,,,,,,,
19,4,"짜투리 공간에 사용하려고 구매했습니다
나사 하나가 빡빡하게 안들어가서 한쪽이 헐거워요
조금만 더 견고하게 조여지면 좋겠는데 아쉬운마음 있지만 가격이 저렴하니 ㅜㅜ",kiki****,21.01.21.,1,선반,수납가구
,,,,,,,
20,5,집하는 주문 당일에 되었는데 배송은 며칠 걸렸어요. 회사는 남양주에 있는 것 같은데 동작구에서 집하되네요. 베트남제이고 오천원 정도 했으면 하는 퀄리티입니다. 나무가루 날리고 나사 하나가 헛돌고 나무판이 무르고 실짝씩 휘었습니다. 단 간격이 유사제품들보다 높아서 구매하였습니다.,pius****,21.01.28.,1,선반,수납가구
,,,,,,,
21,5,가격대비 괜찮아요????,dmsw****,21.03.02.,1,선반,수납가구
,,,,,,,
22,1,"배송느렸고
그건그렇다치고 나사불량으로보냈네요",hyoj****,21.02.20.,1,선반,수납가구
,,,,,,,
23,5,튼튼하고 아주 쓸모있어요. 맨아래쪽 선반은 조립안하고 큰 냄비 넣으니까 더 좋네요.,kkwz****,21.02.11.,1,선반,수납가구
,,,,,,,
24,5,나무가 물러서 많이 휩니다,pius****,21.02.23.,1,선반,수납가구
,,,,,,,
25,5,"딱 원하던 사이즈이고 조립도 쉽게 잘했습니다 ㅎㅎ 
책상옆에두니 생각보다 더 이쁘고 맘에드네요~",whyu****,21.01.12.,1,선반,수납가구
,,,,,,,
26,5,이뻐요 조립하기도 쉽고,suju****,21.02.01.,1,선반,수납가구
,,,,,,,
27,5,조립이 매우 쉽습니다 사이즈도 제가 원하던 그사이즈에요 잘쓸께요,lumo****,21.02.09.,1,선반,수납가구
,,,,,,,
28,5,정리대로 좋아요. 조립도 너무 쉽고 여기저기 활용도가 좋을듯 합니다.,at1m****,21.01.19.,1,선반,수납가구
,,,,,,,
29,5,"최고네요^^
주방이 작아서 공간활용으로 디자인 활용도 굿~",kja6****,21.01.19.,1,선반,수납가구
,,,,,,,
30,5,침대 옆에 놓았어요. 핸드폰 충전과 책 한두권 올리기 좋ㄴㆍ기요,easy****,21.01.20.,1,선반,수납가구
,,,,,,,
31,5,조립 쉽고 튼튼한 편이에요. 아래쪽 단은 일부러 조립 안하고 부피 큰 거 두려고요. 그래도 잘 버틸것 같네요.,kkwz****,21.01.09.,1,선반,수납가구
,,,,,,,
32,4,"제가 원하던 공간에
사이즈가 맞아서 좋아요.",lgy2****,21.02.12.,1,선반,수납가구
,,,,,,,
33,5,깔끔하니 괜찮아요...,wh_s****,21.02.17.,1,선반,수납가구
,,,,,,,
34,5,베란다 정리용으로 샀어요 조립도 쉽고 나무 재질도 좋은 것 같아요 만족합니다,chee****,21.01.12.,1,선반,수납가구
,,,,,,,
35,5,"일단 조립하기 편해서 좋네여

세탁실 대충 정리한 사진이라 아직 좀 그렇지만
공간활용에 매우 좋아요
막 튼튼한 느낌은 아니지만

가격대비
만족하구요~",jtmy****,21.01.09.,1,선반,수납가구
,,,,,,,
36,5,작고 아담하니 좋아요!!^^,yhee****,21.01.25.,1,선반,수납가구
,,,,,,,
37,3,"가격대비좋아요
침대옆에테이블로잘쓰고있어요",osje****,21.02.07.,1,선반,수납가구
,,,,,,,
38,4,저렴하니 편히쓰기 좋을거같아요,jiny****,21.01.05.,1,선반,수납가구
,,,,,,,
39,4,감사합니다?번창하세요,mihy****,21.02.03.,1,선반,수납가구
,,,,,,,
40,5,원목이라 깔끔하고 우아하고 좋아요.,lks5****,21.01.26.,1,선반,수납가구
,,,,,,,
41,4,이쁘긴한데~~배송이!!늦었네요!아들방구석을~~,sera****,20.12.30.,1,선반,수납가구
,,,,,,,
42,5,튼튼하고 맘에 들어요^^~~싸이즈 딱좋아요,mng2****,21.01.20.,1,선반,수납가구
,,,,,,,
43,5,저렴한가격에 잘 산거같아요^^ 사이즈가 딱이에요~,bunn****,20.12.26.,1,선반,수납가구
,,,,,,,
44,3,적당하게 쓸만하네요,soje****,21.01.25.,1,선반,수납가구
,,,,,,,
45,4,마감처리는 별로지만 쇼파옆에 잡다구리 올려놓기 좋아요 저렴한 가격에 잘 샀어요,alsl****,21.01.14.,1,선반,수납가구
,,,,,,,
46,5,맘에 듭니다 배송도 굿,hyun****,21.01.02.,1,선반,수납가구
,,,,,,,
47,5,저희집이 좁은데 좁은공간에서 예쁘게 인테리어 하기가 좋아요.,pis3****,21.01.14.,1,선반,수납가구
,,,,,,,
48,5,잘사용하는 제품입니다,jh15****,21.01.19.,1,선반,수납가구
,,,,,,,
49,5,공간이 좁은데 화분이나 물건 다 활용하기 좋아요,pis3****,21.01.14.,1,선반,수납가구
,,,,,,,
50,5,배송은 너무 늦었지만 상품은 만족합니다,juju****,20.12.26.,1,선반,수납가구
,,,,,,,
51,5,선물줬는데 만족하네요,real****,20.12.27.,1,선반,수납가구
,,,,,,,
52,4,조립하는데 상판 갈비살? 하나가 바로 떨어지더라고요;; 그게 조금 아쉽네요~,sure****,21.01.02.,1,선반,수납가구
,,,,,,,
53,5,생각보다 작은데 예쁘네요!!,herz****,20.12.23.,1,선반,수납가구
,,,,,,,
54,5,출고까지는 시간이 조금 걸렸지만 제품은 마음에 듭니다,gabe****,21.01.04.,1,선반,수납가구
,,,,,,,
55,5,하얀우리집에 너무잘어울려요,rkdu****,20.12.17.,1,선반,수납가구
,,,,,,,
56,5,이미 세번째구입  화분정리대및  정리함으로사용하고 있습니다. 원목이이뻐서 집이환해보여요 정말맘에쏙듭니다^^,khhs****,20.12.19.,1,선반,수납가구
,,,,,,,
57,4,활용도 높고 좋아요,jiwo****,21.01.07.,1,선반,수납가구
,,,,,,,
58,5,"가격대비 튼튼하고 좋네요.
화분정리대로 사려고 구입했는데 조아요",tych****,20.12.17.,1,선반,수납가구
,,,,,,,
59,4,사이즈가딱맞고좋아요,lgy2****,20.12.27.,1,선반,수납가구
,,,,,,,
60,5,생각보다 튼튼하고 특유의 페인트 냄새가 안나요 가격대비 훌륭하네요.,care****,20.12.14.,1,선반,수납가구
,,,,,,,
61,3,좁은 공간에 안성맞춤 6컬레 놓고 아래 바닥에 두켤레 들어가요.,ms22****,20.11.26.,1,선반,수납가구
,,,,,,,
62,4,잘 사용하고 있어요  .여러가지 올려놓기 좋은데 한가지  아쉬운건 갈비살이 아니고 편평한거면 더좋았을걸 싶어요.,akek****,20.11.13.,1,선반,수납가구
,,,,,,,
63,5,예뻐요 분위기 좋아짐,mati****,20.11.29.,1,선반,수납가구
,,,,,,,
64,5,이것저것 잡동사니 올려서 잘쓰고있어요 만족합니다,barb****,20.11.22.,1,선반,수납가구
,,,,,,,
65,5,지난번 800짜리 사고 재주문 이에요. 튼튼해요!,jwjv****,20.11.25.,1,선반,수납가구
