review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,크기도 적당하고 예쁩니다.,eunh****,21.03.16.,0,우산꽂이,수납가구
,,,,,,,
2,4,많이 작음. 우산이 잘 설까 궁금하네요.,zzin****,21.02.21.,0,우산꽂이,수납가구
,,,,,,,
3,3,"디자인이 귀여워요
조금 작지만 좁은 현관 한켠에 놔뒀는데 귀엽네요 :)",yajj****,21.02.20.,0,우산꽂이,수납가구
,,,,,,,
4,5,"생각했던 것보다 더 튼튼하고 예뻐요ㅎ
포장도 꼼꼼하게 되서 왔어요ㅎ 완전 만족합니다. 많이파세요^^",qhfk****,20.12.04.,0,우산꽂이,수납가구
,,,,,,,
5,4,이뻐여 현관에 딱 알맞은 사이즈..생각보다 높이가 낮은것 같아여,ksj2****,20.10.30.,0,우산꽂이,수납가구
,,,,,,,
6,3,"개업 선물로 주문했는데 튼튼해서 좋았어요
안쪽 이음새쪽에  갈색얼룩이  눈에  띄게 보여요ㅜ바닥쪽에 얼룩이 있으면 그나마 괜찮은데 위쪽에 얼룩이있어서 눈에 딱 보이더라고요..반품하기엔 시간이 촉박해서 그냥 드렸는데 출고시에 확인 좀 해보셔야될거같아요..",cris****,20.09.15.,0,우산꽂이,수납가구
,,,,,,,
7,4,우산 꽂이라 뭐 특별하진 않아요,snsz****,20.09.14.,0,우산꽂이,수납가구
,,,,,,,
8,5,생각한 그대로 사이즈도 딱맞고 이뻐요,liil****,20.07.28.,0,우산꽂이,수납가구
,,,,,,,
9,5,디자인이 이쁘고 실용적입니다,seok****,20.07.17.,0,우산꽂이,수납가구
,,,,,,,
10,3,비싼감이 있지만 이쁘네요,jung****,20.06.19.,0,우산꽂이,수납가구
,,,,,,,
11,3,비싼감이 있지만 이쁘네요,jung****,20.06.19.,0,우산꽂이,수납가구
,,,,,,,
12,5,적당한크기에 생각보단 괜찮네요,yong****,20.06.30.,0,우산꽂이,수납가구
,,,,,,,
13,4,배송빠르고요 좋아요,s010****,20.06.09.,0,우산꽂이,수납가구
,,,,,,,
14,5,"일하는데서 쓰려고 샀는데 깔끔하니 좋네요~
배송도 빠르고 크기도 딱이에요.",jodd****,20.05.24.,0,우산꽂이,수납가구
,,,,,,,
15,5,디자인도 예쁘고 기능성도 좋아요.,doak****,20.06.10.,0,우산꽂이,수납가구
,,,,,,,
16,5,"배송 빠르구요
이쁜데  물받이가 조금 더 두꺼웠으면 좋겠네요",andl****,20.05.07.,0,우산꽂이,수납가구
,,,,,,,
17,5,"디자인도  이쁘고 가성비도 짱^^
한가지 아쉬점이 있다면 안에 들어가는 아크릴로된 받침을 하나더 여유분으로 주셨으면 좋겠어요.이거만 따로 구매할수 있나요?",widi****,20.04.05.,0,우산꽂이,수납가구
,,,,,,,
18,5,친구 집들이 선물 로 구매했어요 ~,doly****,20.04.25.,0,우산꽂이,수납가구
,,,,,,,
19,5,가게 개업 선물로 보냈는데 꽃보다 더 좋은 선물이 된듯하네요 너무 좋아합니다 ^^,kjd4****,20.03.16.,0,우산꽂이,수납가구
,,,,,,,
20,5,가게 개업 선물로 보냈는데 꽃보다 더 좋은 선물이 된듯하네요 너무 좋아합니다 ^^!,kjd4****,20.03.16.,0,우산꽂이,수납가구
,,,,,,,
21,4,사이즈 생각한거 만큼 딱 좋아요. 크지도 너무 작지도 않아요.,im86****,20.03.25.,0,우산꽂이,수납가구
,,,,,,,
22,5,생각보다 우산이 많이 들어가진 않지만 무난해요,gil1****,20.03.21.,0,우산꽂이,수납가구
,,,,,,,
23,4,디자인도 예쁘고 저희 집 현관인테리어랑 잘어울리네요^^,kobo****,20.03.17.,0,우산꽂이,수납가구
,,,,,,,
24,5,배송 빠르고 이쁘고 좋네요~ 좀 작은 느낌!!^^;,netz****,20.03.15.,0,우산꽂이,수납가구
,,,,,,,
25,5,인테리어 효과도 있고 너무 좋아요~,zard****,20.03.19.,0,우산꽂이,수납가구
,,,,,,,
26,5,잘쓰고잇ㅇ요이뻐요뭐그냥,hisu****,20.03.22.,0,우산꽂이,수납가구
,,,,,,,
27,5,흔한 화분보다 실용적이고 좋아하네요~,netz****,20.03.15.,0,우산꽂이,수납가구
,,,,,,,
28,5,현관이 말끔해졌고 디자인도 우수,kyk2****,20.03.02.,0,우산꽂이,수납가구
,,,,,,,
29,5,배송이 정말 빠르네요,gil1****,20.02.09.,0,우산꽂이,수납가구
,,,,,,,
30,5,생각했던 것보단 작지만 만족합니다,getz****,20.02.19.,0,우산꽂이,수납가구
,,,,,,,
