review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,와 ! 맘에 들어요 ㅋㅋ 샤워할때 옷 둘데가 없어서 화장실 옆에 둘려구 구입했는데 좋네요 ㅎㅎ 조립은 그냥 끼우기만 하면 돼요 거짓말 안 치고 1분 걸린ㅋㅋ 무엇보다 중간에 수납공간!!이 널찍해서 액세서리나 머리끈 넥타이 같은것을 두기에 아주 용이해요 견고함은 아주 무거운 옷을 몇개씩 놓지 않는다면 잘 견딜 수 있을거같아요 디자인이야 말할필요없이 북유럽 감성 그자체네요 사슴뿔같아서 귀엽습니다♡ 적게 일하시고 많이 파셔요 ㅋㅋ,vhvh****,21.03.21.,0,행거,수납가구
,,,,,,,
2,5,"스탠드 옷걸이의 견고함은 기대를 안하는 부분이기 때문에 충분히 만족했구요~!
디자인이 너무 예쁘네요
처음엔 블랙 하려다가 화이트가 왠지 눈 맞은 나뭇가지 느낌이어서 샀는데 진짜 딱 그 느낌 ㅎㅎㅎ
교회에 공간이 충분치 않아서 스탠드형으로 구입했는데 만약 또 필요하게 된다면 재구매 의사 충분합니다!!!",kwio****,21.03.11.,0,행거,수납가구
,,,,,,,
3,4,조립이 진짜 간편하고 배송이 빨라서좋네요! 중간에 받침대 부분이 고정이 안되는게 살짝아쉽긴한데 대체적으로 만족합니다! 가벼워서 무거운걸 많이걸지는못하겠지만 간편하게 쓰기는 좋은거같아요! 가격대비 깔끔하고 귀여워요ㅋㅋ 만족합니다~!,bbom****,21.04.02.,0,행거,수납가구
,,,,,,,
4,3,애들이 여기저기 벗어놓은 옷들을 걸어놓으라고 주문했습니다. 배송받고 개봉하는데 새상품이 어떻게 하면 스크래치가 이렇게 심할 수 있는지 놀랍습니다. 생각보다 가벼워서 무거운 옷을 걸 때는 균형을 잡아야 할 것 같습니다.,gkwp****,21.03.24.,0,행거,수납가구
,,,,,,,
5,5,생각보다 길어요~ 조립이 간편하고 좋네요 받자마자 바로 설치했어요 이제 옷을 깔끔하게 보관할 수 있겠네요~,kjhh****,21.04.06.,0,행거,수납가구
,,,,,,,
6,4,"제품 자체가 흔들흔들거리네요.
하지만 이 가격에 더 좋은 제품을 바라는 건 욕심이죠.
가성비 좋습니다.",flsl****,21.04.06.,0,행거,수납가구
,,,,,,,
7,5,"그냥 핸드폰올려놓는게 없는것이 더 좋았을거 같아서 9900원짜리 하나더 주문했어요
옷 걸기 힘들어서 핸드폰 올려놓는 부분은 위로 올려서 꼈어요",4eve****,21.04.02.,0,행거,수납가구
,,,,,,,
8,5,이 가격에 옷걸이를 두개나!!! 짱임 하나는 내방에 하나는 가게에ㅋㅋ진작살껄 이제서야 샀네요. 걸이도 많고 나름 튼튼해요ㅎㅎㅎ잘쓸게요,kes0****,21.03.31.,0,행거,수납가구
,,,,,,,
