review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,3,"조립 해야되는줄 모르고 부랴부랴 전동 드릴사서 했는데 조립은 처음 해서 그런지 2시간 반정도 ? 천천히 꼼꼼히 하다보니 그정도 걸린거같고 나름 설명서에도 잘 되있어 초보인 저도 하기 괜찮았던거 같아요.
치수 재서 사서 크기는 딱 맞았던거 같습니다. 수납은 생각보다 조금 작네요",love****,21.03.25.,0,수납장,수납가구
,,,,,,,
2,5,조립이 너무 힘들었어요ㅜㅜ 드라이버 하나로 혼자서 해보겠다고 도전했다가 2시간 걸렸어요..ㅋㅋㅜ 수납공간이 작다는 건 알고 산거라 예상은 했지만 역시 조립 후에 플랩도어 열면 내부 공간 높이가 그리 높지 않아서 길이 15cm가 넘는 화장품은 세워서 못 넣고 눕혀서 넣었어요. 그래도 널부러져 있던 화장품들이 안 보이게 수납되니 깔끔하고 좋네요!,hyo8****,21.03.07.,0,수납장,수납가구
,,,,,,,
3,5,"생각보다컸어요
딸려오는 부품량보고 허걱했는데
서로잡아주고 실랑이 척척해줘서 
그나마 30분 남짓 걸렸어요
혼자는 몇시간 걸릴것 같아요.
제품 튼튼하고 긁힘방지·밀림방지
 쿠션스티커랑 나사구멍스티커까지 꼼꼼하게 
챙겨주셔서 조립제품중 완성도 짱이었어요
조립제품치고는 싸지않네란 생각했는데
이정도면 대만족입니다
주방 색감 통일하려고 화이트로 선택했는데
원목색도 자연스런멋이 있어 좋을것 같네요~",isun****,21.03.29.,0,수납장,수납가구
,,,,,,,
4,5,조립도 많이 어렵진 않았어요 견고하고 엄청 튼튼해보여요 생각이상으로 맘에들고 이쁩니다!!,010_****,21.03.30.,0,수납장,수납가구
,,,,,,,
5,5,조립하는거 돔 어려웠는데 하다보니 재밌네요 수납공간도 생각보다 많이들어가고 깔끔한 마감도 맘에들어요!,tory****,21.03.25.,0,수납장,수납가구
,,,,,,,
6,1,대응하는 상담원들이 최악임. 다신 구매하고 싶지 않은 마켓비.,game****,21.03.24.,0,수납장,수납가구
,,,,,,,
7,5,"??매우 튼튼하고 생각보다 커서 놀랐지만 디자인은 정말 예뻐요! 특히 직접 꾸미는 재미도 쏠쏠하네용!

??수납력 매우 좋습니다!

??조립 시 체크포인트
- 저는 전동드라이버 사용했는데도 너~~무 힘들었어요 ㅠㅠ 땀이 나더라구요 ㅋㅋ 손으로 드라이버 돌려서 만드신 여성분들이 있으시길래 만만하게 봤는데 그분들 정말 리스펙 합니다!!

- 완성하고 예쁜 모습을 보니 힘든게 싹 가라앉더군요 ^^ 설명서가 매우 자세해서 좋았어요!

- 완성까지 1시간 정도 걸렸습니다",dkdk****,21.02.19.,0,수납장,수납가구
,,,,,,,
8,5,책상위에 올릴거라 너무 크면 어쩌나 걱정했는데 그렇게 크지않아서 적당했어요~ 조그만 소지품 넣어놓기 좋아요~ 조립은 조금 복잡했지만 할만합니당~,n___****,21.03.12.,0,수납장,수납가구
,,,,,,,
9,5,"배송이 엄청 빨라요
아일랜드.식탁위에 잡다구리들 넣어둘려고 구매했어요
전 조립 똥손 오브 똥손이라 신랑이 후다닥 만들어 줬어요

생각보다 큰사이즈 영양제 통도 들어가고
앞쪽에 사진이나 엽서로 꾸밀수 있고 위쪽도화분이나 작은 소품들 올려둘 수 있어 좋네요",phj_****,21.02.25.,0,수납장,수납가구
,,,,,,,
10,5,만족스러워요 이뻐요,1004****,21.04.03.,0,수납장,수납가구
,,,,,,,
11,5,"너무 예쁩니다 진짜 !!! 매우 예뻐요
자취생인 전 공구가 없어서 ... 이 대신 잇몸이라고 빵칼로 조립했습니다 ^^! 진작 살껄 왜 이제 삿나 싶네요 너무 조아요잉 !!",kimy****,21.03.03.,0,수납장,수납가구
,,,,,,,
12,4,구성도 딱딱 좋긴한데 다 좋은데 쿠션패드 2개 없어요 긁힘방지가 8개오고 쿠션이 6개오고 그랬네요 대충 붙이긴했는데,sung****,21.03.05.,0,수납장,수납가구
,,,,,,,
13,4,우와 후기보고 구매해서 각오는 했지만 조립 너무 어렵네요ㅠ 두시간 걸린다고하더니 조립하는데 시간 너무 오래 걸렸어요ㅠ,anna****,21.03.10.,0,수납장,수납가구
,,,,,,,
14,4,일단 조립하는데 너무 힘들었어요.. 2시간 넘게걸린거같습니다 하다가 중간에 조금 눈물날뻔햇는데 잘 참고 만든 보람있어요 예뻐서 좋네오,kili****,21.03.06.,0,수납장,수납가구
,,,,,,,
15,5,"깔끔하고 예뻐요  식틱위에 올려놓으니 딱좋아요
다만 칸칸이 나뉘어 있어 큰물건은 안들어가요",bran****,21.03.09.,0,수납장,수납가구
,,,,,,,
16,4,포장은 꼼꼼하지만 설명서를 제가 대신 만들어주고 싶을 정도로 별로에요.. 조립하실 때 문 꼭 먼저 달고 조립하세요.,da78****,21.03.26.,0,수납장,수납가구
,,,,,,,
17,5,"생각보다 많이 들어가고 마감도 깔끔해요. 두개 나란히 올려도 좋을것 같아요 
수납력도 좋아서 잘 사용중이에요",comi****,21.03.27.,0,수납장,수납가구
,,,,,,,
18,5,넘사고 싶어서 오래기다렸는데 받으니 이쁘고 귀엽네여 복잡했던식탁 정리되서 좋아용,0103****,21.03.12.,0,수납장,수납가구
,,,,,,,
19,5,좋아요 잘쓰겠습니다,skco****,21.03.21.,0,수납장,수납가구
,,,,,,,
20,4,"조립은 엄청쉽진않지만 설명서대로하면 누구나할수있을정도입니다
생각보다 수납력이 좋진못하지만 지저분한 약통정리에 조아요",wjdd****,21.03.04.,0,수납장,수납가구
,,,,,,,
21,3,그냥저냥 그렇습니다,skco****,21.03.19.,0,수납장,수납가구
,,,,,,,
22,5,조립하면서 약간 헤매긴했지만 그렇게 어렵지 않았어요.수납공간 적은건 알고 샀지만 좀만 더 커서 작은 소설책 정도라도 들어가면 더 좋았겠다 싶어요.,come****,21.03.19.,0,수납장,수납가구
,,,,,,,
23,5,"조립하는데 1시간 정도 걸렸어요.
디자인이 너무 이쁘네요",ejli****,21.03.30.,0,수납장,수납가구
,,,,,,,
24,5,커피 장으로 사용해요 좋아요,lsuy****,21.03.17.,0,수납장,수납가구
,,,,,,,
25,4,배송 빠르고 좋아요,suil****,21.04.07.,0,수납장,수납가구
,,,,,,,
26,4,"생각보다 작네요 
그리고 보이는 부분이 까져있어서 신경쓰이고 속상함
조립은재밌었는데 본드도 붙여야되는제품인지는 몰랐네요 ㅜㅜ",olol****,21.02.24.,0,수납장,수납가구
,,,,,,,
27,3,조립도 할만해요 이뻐요,nlmo****,21.04.07.,0,수납장,수납가구
,,,,,,,
28,5,생각보다 너무 좋아요 나무 냄새도 하나도 안나고 조립 설명서 자세히 나와있어서 조립 금방했어요^^ 기대 이상이에요 전 너무 마음에 들어요 급하게 필요해서 주문했는데 택배도 바로 보내주셔서 빨리 잘 받았어요!!! 너무 마음에 들어요^^ 뒤판 얆다고 하시는 분들 많아서 걱정했는데 옷장도 아니고 그냥 작은 수납함이라 뒷판 얆아도 괜찮은거 같아요,kjis****,21.01.29.,0,수납장,수납가구
,,,,,,,
29,5,여자조립 한시간 조금더걸렸구요 드릴 꼭필요해요 다만들어놓고나면 뿌듯 이뻐요,qhfk****,21.03.01.,0,수납장,수납가구
,,,,,,,
30,5,작고 귀엽네요 ㅎㅎ,dbsa****,21.03.19.,0,수납장,수납가구
,,,,,,,
31,5,너무 예뻐요 아일랜드위에 지저분한 수납에 좋네요,99pe****,21.03.07.,0,수납장,수납가구
,,,,,,,
