review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,"ÀÏ´ÜÂ¥¸® 3°³ ±¸¸ÅÇß´Ù°¡
2´ÜÂ¥¸® ±¸¸ÅÇß½À´Ï´Ù 
Æ°Æ°ÇÏ°í ¼¼½ÉÇÏ°Ô Àß ¸¸µé¾îÁ®¼­ ³Ê¹« ÁÁ½À´Ï´Ù~",m121****,21.04.05.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
2,5,2°³ ÁÖ¹®Çß´Âµ¥ 1°³°¡ ¹è¼ÛÁß ÆÄ¼ÕÀ¸·Î ÅåÀ¸·Î ±Û ³²°å´õ´Ï ¹Ù·Î ±³È¯ÇØ ÁÖ¼Ì°í ¹è¼ÛÀº ´Ù¼Ò ¿À·¡ °É·ÈÁö¸¸ »óÇ°Àº Æ°Æ°ÇÏ°í ÁÁ½À´Ï´Ù,shai****,21.02.07.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
3,5,°¡°Ýµµ Àú·ÅÇÏ°í ³ª¹«Áúµµ ÁÁ½À´Ï´Ù.,kk99****,20.10.06.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
4,5,°í±Þ½º·´°í ¿¹»µ¿ä~!,kkoo****,20.08.17.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
5,5,°í±Þ½º·´°í ÁÁ¾Æ¿ä~! Àß ¾µ²²¿ä,kkoo****,20.06.28.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
6,4,»ý°¢º¸´Ù  »¡¸®¿Ô¾î¿ä,gaji****,19.08.15.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
7,5,"Àç±¸¸ÅÀÔ´Ï´ç Àú¹ø¿£ ¿¤´õ 1´Ü ÀÌ¹ø¿£ °í¹«³ª¹«·Î1´Ü ±¸¸ÅÇß¾î¿ä µÎ°³¾¿ !
°í¹«³ª¹«°¡ ´õ ³¿»õ°¡ ¸¹ÀÌ ³ª´ÂµíÇØ¿ä
1´ÜÀº ¿ª½Ã ±äÃ¥µµ Àßµé¾î°¡°í ÁÁ½À´Ï´ç
°ø°£¹Ú½º ³ªÁß¿¡ ´Ù¸¥¿ëµµ·Îµµ »ç¿ëÇÒ ¼ö ÀÖ¾î¼­ ½Ç¿ë¼º ¸¸Á¡ÀÌ¿¡¿© °¡°ÝÂøÇÑ°Å ³Ê¹«ÁÁ±¸¿ë",hee5****,19.03.14.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
8,5,¿ÍÀÌÇÁ ¸ô·¡ »ò´Âµ¥ ÀÌ»Ú´ÙÇÏ´õ¶ó°í¿ä,seo1****,19.01.27.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
9,5,"Áú°¨ÀÌ Á¤¸» ÁÁ½À´Ï´Ù.
À§¿¡´Â ´ÜÇ³³ª¹«·Î ¸¶°¨µ· ½ºÇÇÄ¿¸¦ ¿Ã·Á ³õ¾Ò´Âµ¥ »ö»ó¸ÅÄ¡°¡ ³Ê¹« ¸¶À½¿¡ µì´Ï´Ù.

³»ºÎ¿¡´Â ÃÖ±Ù¿¡ ÀÐ¾ú´ø Ã¥À» ²È¾Æ ³õ¾Ò´Âµ¥ ³ª¹«»ö»ó°ú Àß¾î¿ï·Á¿ä.

°¡°Ý ±â´É µðÀÚÀÎ ÁÖº¯°úÀÇ Á¶È­µî ¸¸Á·½º·´½À´Ï´Ù.",joyf****,18.11.20.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
10,5,°ß°íÇÏ°í µðÀÚÀÎµµ ½ÉÇÃÇÏ°í ÁÁ¾Æ¿ä,wave****,18.11.17.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
11,5,"±ò²ûÇÏ°í ¸Å²ô·´°í °í±Þ½º·± °ø°£ ¹Ú½ºÀÌ³×¿ä
ÇÏ³ª µÑ ¾¿ ¸ð¾Æ °ø°£ È°¿ëÇÏ¸é ´õ¿í ÁÁÀ» °Í °°¾Æ¿ä",mrsx****,18.04.25.,0,°ø°£¹Ú½º,¼ö³³°¡±¸
,,,,,,,
