review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
37,5,ㅁㄴ ㅏ아ㅣㅂ저ㅁ니ㅏㅓ이바저이ㅏㅁ너이ㅓ미나ㅓㅇ니ㅏ먼이ㅏㅓㅂㅈ지ㅏ어미나어ㅣ바저임ㄴ ㅁ니ㅏㅓㅇ비자ㅓ임ㅇ너이바저이ㅏㅁ너이ㅏㅓㅁ니ㅏ업지자어ㅣㅁ나ㅓ입자ㅓ이ㅏㅁ너이ㅏㅂ저이ㅏㅓㅁ니아ㅓㅂ지자어ㅣㅁ나ㅓ입자ㅓ이마너입자ㅓ임나ㅓ이ㅏㅂ저이ㅏ먼이바ㅓ지아ㅓㄴ밍나ㅓㅣ마너이ㅏㅁ너이바정미나업지ㅏ,o756****,17.04.10.,0,CD/DVD장,수납가구
,,,,,,,
38,5,너인ㅁ나ㅓㅇ비자ㅓ이마너입ㅈ자ㅓ이마너이ㅏ버지아ㅓㅁ니아ㅓ비자어미나어미나ㅓㅇ비자ㅓ임나ㅓ입자ㅓ이마너입자ㅓ이마너이바저임나ㅓ이마너이바ㅓㅈ이ㅏㅁ넝,o756****,17.04.10.,0,CD/DVD장,수납가구
,,,,,,,
39,4,예쁘네요. 하나 더 구매하고 싶었는데 묶음 배송이 안되는게 좀 그래서 우선 하나만 구매했습니다. 일반 씨디 케이스 딱 맞아요. 조금 큰것들은 세우지 못하고 뉘여 놓았어요. 정리되니 그나마 깔끔하네요.,wwwl****,17.03.01.,0,CD/DVD장,수납가구
,,,,,,,
40,3,예쁘고 좋아요.,wwwl****,17.03.01.,0,CD/DVD장,수납가구
,,,,,,,
41,5,색이 예뻐요,saza****,17.02.24.,0,CD/DVD장,수납가구
,,,,,,,
42,5,색이 예뻐요,saza****,17.02.24.,0,CD/DVD장,수납가구
,,,,,,,
43,5,깔끔하네요~~,eun_****,17.02.13.,0,CD/DVD장,수납가구
,,,,,,,
44,5,이뻐요. 정말 ,sj59****,17.02.02.,0,CD/DVD장,수납가구
,,,,,,,
45,4,셀프로 하기에는 조금 무리에요~ 예쁘고 가볍고  가성비 좋습니다.그런데 일단 벽에 부착하는 나사못은 따라 오지않아서따로 구매해서 나사못 박아서 설치했네요 ㅠ ㅠ이 점 참고하시고 구매하셔야 될거같아요~세로로 설치한 다음에씨디를 죽 넣었는데 꽤 많이 들어가긴 하네요!!,jnj7****,16.11.28.,0,CD/DVD장,수납가구
,,,,,,,
46,5,좋네요 감사합니다,capt****,16.12.25.,0,CD/DVD장,수납가구
,,,,,,,
47,5,감사해요 정리되었어요 깔끔하게 정리정돈 수납되어 좋구요 한눈에 보고 바로 고를수있어서 너무좋네요 감사하고 잘쓸께요,0305****,16.12.05.,0,CD/DVD장,수납가구
,,,,,,,
48,5,깔끔하게 잘 사용하고 있어요 정리 수납이 깔끔하게 잘 되어서 유용하게 사용중이구요  한눈에 볼수있어 바로 고를수있어서 좋네요,0305****,16.12.05.,0,CD/DVD장,수납가구
,,,,,,,
49,5,인테리어 포인트 저렴한 가격에 인테리어에 포인트를 줄 수 있어 매우 만족합니다. 귀여운 피규어 인형이랑 매치하니 더욱 이쁘네요.,yeos****,16.11.06.,0,CD/DVD장,수납가구
,,,,,,,
50,5,괜찮아요 시디 놓아두려고 샀어요 조금 불안하긴 한데 떨어지진 않겠죠 머 ㅋㅋ 잘 쓰고있어요 ㅎㅎㅋㅋ,gmwu****,16.11.29.,0,CD/DVD장,수납가구
,,,,,,,
51,3,"배송이 생각보다 느리긴 했는데
잘 받았어요~
그리고 후기처럼 그레이가
진그레이가 아니고 약간 탁하고 연하 ㄴ그레이에요~!",jnj7****,16.11.28.,0,CD/DVD장,수납가구
,,,,,,,
52,5,"괜찮네요~
근데배송비따로받는건 좀 이해불가",unog****,16.11.23.,0,CD/DVD장,수납가구
,,,,,,,
53,5,"
배송도 빠르고 생각했던것처럼 심플해서 사용하기 편할거같네요. 감사합니다~~ ",saru****,16.11.18.,0,CD/DVD장,수납가구
,,,,,,,
54,5,"괜찮네요~
근데 배송비따로받는건 좀;;",unog****,16.11.23.,0,CD/DVD장,수납가구
,,,,,,,
55,5,가성비 갑 한쪽에는 가로로 시디 진열하고 다른 쪽에는 세로로 dvd 진열하니 정말 좋네요. 인테리어도 예뻐지고 거기에 수납까지 깔끔하게 정말 최고의 아이템입니다.,yeos****,16.11.07.,0,CD/DVD장,수납가구
,,,,,,,
56,5,잘받았어요,gmwu****,16.11.29.,0,CD/DVD장,수납가구
,,,,,,,
57,5,좋아요~~~~,mnmn****,16.11.29.,0,CD/DVD장,수납가구
,,,,,,,
58,5,잘쓰고잇어요,0305****,16.11.18.,0,CD/DVD장,수납가구
,,,,,,,
59,5,저렴하고좋아요 씨디장으로 사용하려고 주문했는데 작은 장식품넣기에도 좋을것같아서 추가주문하려해요 상품만족합니다,juhy****,16.10.25.,0,CD/DVD장,수납가구
,,,,,,,
60,5,괜찮네요~~~,0305****,16.11.18.,0,CD/DVD장,수납가구
,,,,,,,
61,5,가격 대비 인테리어 효과 아주 좋아요. 설치 후 가족 모두 좋아 하네요.^^,yeos****,16.10.31.,0,CD/DVD장,수납가구
,,,,,,,
62,5,적극 추천합니다.,yeos****,16.10.31.,0,CD/DVD장,수납가구
,,,,,,,
63,5,빠른배송짱,juhy****,16.10.25.,0,CD/DVD장,수납가구
,,,,,,,
64,3,마감이 조금 아쉽네요~,sjak****,16.10.11.,0,CD/DVD장,수납가구
,,,,,,,
65,3,아직 설치전이긴 하지만 크기도 좋고 색도 괜찮고 적당한듯요,o2si****,16.10.01.,0,CD/DVD장,수납가구
,,,,,,,
66,5,배송짱빠르네요 ㅋㅋ 많이파세요,rams****,16.09.08.,0,CD/DVD장,수납가구
,,,,,,,
67,5,배송빨라 좋네요 잘쓸게요!,rams****,16.09.02.,0,CD/DVD장,수납가구
,,,,,,,
68,5,만족합니다!,lodi****,16.08.07.,0,CD/DVD장,수납가구
,,,,,,,
69,5,ㅂㅈㄴㅁㄴㅇㅊㅊ,skc2****,16.08.13.,0,CD/DVD장,수납가구
,,,,,,,
70,5,"아직은 안걸어놨는데 괜찮겠죠옅은그레이라 조 아싀워여
진그레인줄 알았는데 흑
좀 거 진했으면 좋겠어ㅛ",hihe****,16.06.27.,0,CD/DVD장,수납가구
,,,,,,,
71,5,조아요 ㅎㅎ,hihe****,16.06.20.,0,CD/DVD장,수납가구
,,,,,,,
72,5,깔끔합니다,myfa****,16.07.03.,0,CD/DVD장,수납가구
,,,,,,,
73,5,"넘넘 간편하고 이뻐요^^ 요고 필수 아이템이네요. ^^ 
정말 설치도 간편하고 가격대비 세련되고 고급스러워보이네요.!!
오디오 옆에 CD장으로 이용하기 딱 좋아요~~~",omag****,16.04.14.,0,CD/DVD장,수납가구
,,,,,,,
74,5,만족합닏ㄱ?,2060****,16.05.28.,0,CD/DVD장,수납가구
,,,,,,,
75,5,만족합니ㅢㆍ,2060****,16.05.28.,0,CD/DVD장,수납가구
,,,,,,,
76,5,만족ㅎㄱ?ㅂ니??,2060****,16.05.28.,0,CD/DVD장,수납가구
,,,,,,,
77,4,씨디꽂이로 탁월한 선택 씨디꽂이로 정말 탁월한 디자인입니다.  용도도 좋고 설치도 편합니다.  크기가 좀 있으니 고려하시고 구매하시면 좋을 듯하고요.  씨디가 많이 꽂혀 있지 않아도 이쁘네요~ 꼭 드릴사용을 해야되고요~ 방안에 포인트로 적당합니다.,roma****,16.04.03.,0,CD/DVD장,수납가구
,,,,,,,
78,5,빠르고 이쁘고 간편하고 ^^ 마켓비 자주 이용해야겠어요.,omag****,16.04.14.,0,CD/DVD장,수납가구
,,,,,,,
