review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,"욕실옆 속옷 수납장으로 사용합니다
크기 색상 디자인  좋아요
튼튼하고 이뻐요",sdhj****,20.05.18.,0,코너장,수납가구
,,,,,,,
2,5,욕실옆 코너장으로 너무 좋아요,ehfm****,20.04.06.,0,코너장,수납가구
,,,,,,,
3,5,디자인도 이쁘고 좋아요. 사이즈도 딱이고 틈새가구로 찾고 있었는데 딱 맞도 디자인도 너무 좋고 가격대가 있어서 조금 고민했는데 괜히 고민했나 싶었네요.,12wo****,18.04.09.,0,코너장,수납가구
,,,,,,,
4,5,너무 좋아요,12wo****,18.04.09.,0,코너장,수납가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,4,"우선 디자인이랑 크기가 딱 좋아 구매를 했습니다.
받고 보니 아주 만족스럽습니다.
자리잡아주니 인테리어용으로 한몫하는것 같습니다.
단지 아쉬운점은 이쁜다리덕분에 조금 불안해 보이긴한데 뒷면 고정하는 부속품도 보내 주시고 아랫쪽에 무거운 물건을 정리해 놓고 나니 안정이 되는것 같아 만족스럽습니다.",desp****,21.04.06.,2,코너장,수납가구
,,,,,,,
2,5,모서리에 두기 딱 좋아요..좀만 더 높았으면 좋았겠어요^^,wife****,21.03.23.,2,코너장,수납가구
,,,,,,,
3,5,포인트 가구로도  쓰임이 딱 이네용~,ssun****,20.09.16.,2,코너장,수납가구
,,,,,,,
4,3,설치후 보니 분위가 달라졌어요.귀여운듯 예쁘고 맘에 들어요.,jmk6****,20.07.14.,2,코너장,수납가구
,,,,,,,
5,5,원목 느낌이 너무 좋아용~ 아담한 싸이즈라 공간 활용이 너무 좋네요~,ssun****,20.07.09.,2,코너장,수납가구
,,,,,,,
6,5,잘사용하고 있습니다~수건장으로 사용하다가 소지품같은거 넣고 사용하니 좋네요^^,sos0****,20.06.19.,2,코너장,수납가구
,,,,,,,
7,5,처음에 손상이 있었는데 연락드리니까 빠르게 바꿔주셨어요 새로 온 제품은 손상 없고 좋아요 바네스데코네서만 4개 샀는데 다 만족스러워요,ttps****,20.06.03.,2,코너장,수납가구
,,,,,,,
8,5,너무 귀엽고 실용적이예요,sozo****,20.06.12.,2,코너장,수납가구
,,,,,,,
9,5,"빠른배송 감사합니다 
너무 예쁘네요",sos0****,20.05.14.,2,코너장,수납가구
,,,,,,,
10,4,수건수납장 찾고있었는데 딱이에요!,lmj3****,20.05.12.,2,코너장,수납가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,"맨 아래 단은 빼버리고 매트리스 놓는 구석에 두었습니다. 죽은 공간이라고 생각했는데 수납공간도 생기고 분위기도 살아나네요.

소재와 마감도 만족스럽고  코너에 두면 나사가 모두 벽 쪽으로 가 있어서 전혀 보이지 않는 것도 좋네요.

이케아에 똑같이 생긴 코너선반이 있는데 이케아 것 하고는 퀄리티가 비교가 되지 않습니다. 실물로 봤을때 소재에서부터 너무 차이가 나요.

마켓비 제품 처음 구매해보는데 너무 마음에 듭니다. 가구나 조명 또 구매하게 될 것 같아요.",lulu****,21.03.30.,3,코너장,수납가구
,,,,,,,
2,5,코너에 딱 맞아요 아직 꾸미기전인데 예쁘게 꾸미면 훨씬더 예쁠거같아요??,sunn****,21.03.31.,3,코너장,수납가구
,,,,,,,
3,5,코너 선반으로 맞춤입니다. 대나무라 컬러도 다른 가구와 어울리며 조립하기도 너무 쉬워요. 화분 놓으려 샀는데 식물과 너무 잘 어울려요,broo****,21.03.10.,3,코너장,수납가구
,,,,,,,
4,5,코너장 찾고 있었는데 적당한 사이즈라 딱 좋았어요. 포토테이블로 잘 쓰고 있어요,ggsk****,21.03.15.,3,코너장,수납가구
,,,,,,,
5,5,이쁘게 잘 쓰고있습니다 공간 활용도 좋고 색감도 예쁘고 튼튼해요,anse****,21.03.22.,3,코너장,수납가구
,,,,,,,
6,5,"생각보다 작았는데 코너에 넣으니깐 딱 예뻤어요. 저희 집에서는 식물 선반으로 예쁘게 쓰이고 있습니다??
배송비만 좀 착해지면 좋을 거 같아요 :)",nats****,21.02.18.,3,코너장,수납가구
,,,,,,,
7,5,현관문 코너쪽에 뭔가 허전해서 구매했는데 진짜 딱 맞아 떨어졌습니다. 마스크  장바구니   수건 등등 골고루 활용중입니다.,newt****,21.02.14.,3,코너장,수납가구
,,,,,,,
8,4,아무래도 튼튼한 느낌은 아니지만 만족해요,lha0****,21.02.23.,3,코너장,수납가구
,,,,,,,
9,5,생각보다 높이가 조금 높지만 코너에 찰떡이고요. 너무 예뻐요. 조립도 간편하고 마감도 좋아서 추천합니다!,hose****,21.01.31.,3,코너장,수납가구
,,,,,,,
10,5,"아주 맘에 듭니다
만들때 조금 버벅대긴했지만 만들고나니 너무 좋아요 수납공간도 넉넉해요",sa12****,21.02.19.,3,코너장,수납가구
,,,,,,,
11,5,좋아요~~~~~~~,ggsk****,21.02.13.,3,코너장,수납가구
,,,,,,,
12,3,나사 몇번 돌리자마자 나무가 갈라지ㄴㅔ요,qkff****,21.02.18.,3,코너장,수납가구
,,,,,,,
13,5,코너에 놓기 짱입니다!! 색감도 좋고 예쁘네요! 조립하기도 편하고 가벼워서 더 좋아요! 소소하게 식탁옆에 필요한 물건 두기 너무 좋아요 공간활용도 잘되고!,anse****,21.01.02.,3,코너장,수납가구
,,,,,,,
14,3,씸플하고 사진 그대로임,jhki****,21.02.08.,3,코너장,수납가구
,,,,,,,
15,4,생각보자작아요ㅠ배송은빠르고,mini****,21.01.09.,3,코너장,수납가구
,,,,,,,
16,5,모서리에 항상 화분 놓아뒀었는데 이 선반 보고 딱 좋을 것 같아서 샀어요~ 엄마가 좋아하시구여 ㅋㅋ 모서리 활용에 정말 딱입니다~,gots****,20.12.24.,3,코너장,수납가구
,,,,,,,
17,5,"모서리장식장이 필요해서 샀는데 너무 만족합니다
덕분에 꾸미는 재미가 있었어여ㅎ",dad9****,20.12.30.,3,코너장,수납가구
,,,,,,,
18,4,"생각보다 크진 않음
조립은 본인이 해야되는ㄷㅔ 배송비는 왜 비싼지 모르겠음 다 조립했는데 약간 흔들임
배송은 이틀걸였ㄴㅔ여",ekwj****,20.12.22.,3,코너장,수납가구
,,,,,,,
19,5,이뻐요~ 만족합니다,robi****,21.01.18.,3,코너장,수납가구
,,,,,,,
20,5,"배송 깔끔하게 잘왔고
이쁩니다",kgbi****,21.01.09.,3,코너장,수납가구
,,,,,,,
21,3,"거실 사이드에 비치 해두니 넘넘 예뻐요 ㅎㅎ
갬성 가득하네요 나무결도 맘에 들어요",anmi****,20.11.19.,3,코너장,수납가구
,,,,,,,
22,4,"배송비가 만원이길래 조립이 되어 오는줄 알았는데 직접 조립하는거였네요?
어렵지는 않습니다. 
한데 왜 배송비가 만원인지는 잘 ㅠ",evan****,20.12.03.,3,코너장,수납가구
,,,,,,,
23,5,"피규어 인형 진열용으로 딱이에용
구석에 공간 크게 차지도 안하고 굿??",dksa****,20.11.17.,3,코너장,수납가구
,,,,,,,
24,5,다소 배송은 느렸지만 이쁘고 조립도 쉬워요,sy80****,20.11.12.,3,코너장,수납가구
,,,,,,,
25,5,조립도 간단하고 좋아요,lena****,20.11.28.,3,코너장,수납가구
,,,,,,,
26,5,견고하고 튼튼해요!!,gnal****,20.11.30.,3,코너장,수납가구
,,,,,,,
27,5,여전히 잘 쓰고 있어요,jjss****,20.11.07.,3,코너장,수납가구
,,,,,,,
28,3,"생각보다 튼튼해 보이지는 않아요
양쪽 다리도 균형이 맞지않아 약간 흔들거리는데
다리에 뭐라도 대놓고 쓰면 괜찮긴할 것 같아 그냥 씁니다",mhhs****,20.11.10.,3,코너장,수납가구
,,,,,,,
29,5,아일렌드 식탁에 선반으로 구입했는데 상당히 만족스럽니다.사이즈도 적당하고 굿입니다.,oohe****,20.11.09.,3,코너장,수납가구
,,,,,,,
30,4,상품설명과 똑같아요~ 색상이 넘 자연스럽고 예뻐서 샀는데 조립하니 너무 예뻐요. 그런데 기둥부분 나무로 고정된 부분이 부러져서 배송 되었는데 크게 문제는 안될 거 같아서 그냥 씁니다~,gots****,20.10.05.,3,코너장,수납가구
,,,,,,,
31,4,"생각보다 작아서 살짝 아쉬웠어요 
좀더 큰사이즈도 만들어주시면 좋겠어요",mada****,20.11.10.,3,코너장,수납가구
,,,,,,,
32,5,인테리어 효과 굿이에요 ??,yhgt****,20.10.15.,3,코너장,수납가구
,,,,,,,
33,5,튼튼하고 안정적입니다. 투박하기보단 깔끔한 가구입니다.,pada****,20.10.31.,3,코너장,수납가구
,,,,,,,
34,5,가볍고 이뻐요 코너에 넣고 가방같은거 수납하기 딱입니다.,seob****,20.10.30.,3,코너장,수납가구
,,,,,,,
35,3,잘사용중입니다 컬러가살짝애매해요,shel****,20.10.05.,3,코너장,수납가구
,,,,,,,
36,4,예쁩니다-! 조립도 어렵지 않았어요. 생각보다는 활용도가 떨어지네요,bcm0****,20.09.24.,3,코너장,수납가구
,,,,,,,
37,4,생각보다 작아요 디자인은 이뻐요,jjss****,20.09.28.,3,코너장,수납가구
,,,,,,,
38,5,나무라서 무거울까 걱정했는데 여자인 저도 충분히 조립하고 옮기기에 너무나 가벼워 좋았습니다,symo****,20.09.09.,3,코너장,수납가구
,,,,,,,
39,4,앞으로 쏠릴거같아서 다리에 종이 대놨어요ㅎ 그런 불편함 말곤 잘쓰고있어요~,soo0****,20.09.07.,3,코너장,수납가구
,,,,,,,
40,3,"빠른배송에 매우 만족합니다
다만  코너수납장임에도 불구하고 휘청여서 코너에 딱 붙어 고정되지는 않습니다",uicj****,20.09.22.,3,코너장,수납가구
,,,,,,,
41,4,코너장으로딱이예요  마감도고급지고요,e3da****,20.10.02.,3,코너장,수납가구
,,,,,,,
42,5,아주좋아요!! 조립도 어렵지않고 적당한무게에 수납력도좋아요^^,hn06****,20.09.02.,3,코너장,수납가구
,,,,,,,
43,4,깔끔하니 잘 쓰고 있어요~,jiye****,20.10.02.,3,코너장,수납가구
,,,,,,,
44,5,예뻐요 원목가구 너무 마음에 들어요 ??,yhgt****,20.09.05.,3,코너장,수납가구
,,,,,,,
45,5,공간활용 잘하구 있어요ㅎ,lsh6****,20.09.08.,3,코너장,수납가구
,,,,,,,
46,5,단단하고 잘사용중이에요,guya****,20.09.07.,3,코너장,수납가구
,,,,,,,
47,5,"배송도 빠르고 조립성도 좋았어요~

그런데 코너다보니 약간 불안한감은 살짝 있네요",tizm****,20.09.14.,3,코너장,수납가구
,,,,,,,
48,5,튼튼하니 너무 좋아요!!,suri****,20.09.07.,3,코너장,수납가구
,,,,,,,
