review_no,star,review,customerId,reviewDate,pd_no,storagecate_no,category_no
,,,,,,,
1,5,예쁘게 잘 사용하고있어요. 이사짐 정리가 안되어서 소품이 어수선하지만 너무 만족해서 얼른 후기 작성해요. 미닫이도 부드럽게 잘열리고 크기  색감 아주 좋아요! 택배기사 아저씨가 이사전에 오셔서 오늘 안받으면 직접 가져가라고 원래 그런데 어쩌라고? 식으로 하셔서 기분이 정말 너무 상했는데 선반보고 기분 풀렸어요! 소년과나무의 서비스나 품질은 백점 만점^^ !!,didt****,21.03.04.,2,고가구,수납가구
,,,,,,,
2,5,사이즈가 아담한 장식장이라 우선 여기저기에자리잡아보았어요!어제받아서 냄새가 나고있지만 몇일지나면 사라지겠죠!!색상이 어두워서 고민고민하다가 밝은색은 혹시 모를 하자에도 반품이 안된다기에 걍 이걸루 주문했어요.디자인이 맘에들어 색감정도는 커버가되는 장식장이예요,silk****,21.03.11.,2,고가구,수납가구
,,,,,,,
3,5,"삼고초려(?@)라고    했던가요~~ 드뎌 원하는 완소템 가구를 받게 되었어요!!   뽁뽁이로 가구전체를 완벽하게 둘러주셔서 흠없이 깨진곳없이 잘 받았어요  가구는 반드시 뽁뽁이로 안전하게 둘러서 보내주셔야 될 것 같아요. 세번만에 이렇게 받게 되어 더더 기쁘네요^^
마른 수건으로 깨끗이 닦고 자리잡은후 요것조것 올려놓고 인증샷 찍어봤네요
다른가구들도 사고 싶은게 많은데 자주들러 살펴볼게요",love****,21.02.23.,2,고가구,수납가구
,,,,,,,
4,5,꽤 여러달을 고민하다가 고른 원목가구예요. 빈티지한 감성이 점점 좋아져서 눈여겨 보았는데 직접 받아보니 더 견고하고.. 크기는 작지만 묵직한 원목의 느낌이 고급스러워요. 제가 생각했던것보다 훨씬 더 예뻐서 너무 만족스러워요. 가구배치를 바꾸는 것을 좋아해서 큰 가구보다는 이런 작은 가구들을 선호하는데 원목의 색감과.. 내구성. 디자인. 가성비 모두 만족스러웠어요 좋은제품 많이 판매하세요^^,ej29****,21.02.06.,2,고가구,수납가구
,,,,,,,
5,5,"침대 옆 협탁으로 쓰고 있는데
수납 공간도 넉넉하고 참으로 맘에 듭니다 
초반에 냄새ㅃㅐ기는 좀 힘들었지만 제품이 너무 맘에 들어서 별 상관없어요 이젠 냄새도 안나고 너무 잘 쓰고 있습니다",soul****,21.03.07.,2,고가구,수납가구
,,,,,,,
6,5,잘 어울리네요 저는 사이즈가 작아서 더 좋아요,saen****,21.03.08.,2,고가구,수납가구
,,,,,,,
7,5,방 분위기 살려줘서 좋아요 잘 쓰고 있습니당~~,bles****,21.03.07.,2,고가구,수납가구
,,,,,,,
8,4,"생각했던 대로 작은 사이즈지만  이쁩니다.
박스안에 어떤 포장도없이 바로 물건이 보여서 조금 놀랐고  2군데 깊은 찍힘이 있는데 아쉽지만 감안하고 사용하려구요.
서브거실에 아이들 책장으로 사용중입니다~",kimh****,21.02.14.,2,고가구,수납가구
,,,,,,,
