"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"1","5","희망배송일에 딱!! 배송왔습니다 화면에서 보는것보다더튼튼해보였구요 똥손인 저도 손쉽게 조립할수있었어요 감사합니다","sooj****","21.04.08.","0","책상","서재/사무용가구"
"2","1","3주 넘게 기다렸는데 서랍 아래에 큰 파임이 있더라구요 원목특성상 마감이 매끄럽지 않을 수 있다는 주의사항을 보긴했는데 이건 매끄럽지 않은게 아니라 불량인 것 같아요 교환을 하기에도 거추장스러워서 안보이는 곳이니까 그냥 쓰려구요 오래 기다렸는데 속상하네요","beau****","21.04.07.","0","책상","서재/사무용가구"
"3","5","생각한 날짜보다 일찍 받앗어요 
기사님이 다리 조립해주시고 가셧습니다 
너무 예뻐요 
이제 어울리는 의자를 찾고있어요 
이사을 가두 평생 쓸 책상이에요 ㅎㅎ","myfi****","21.04.02.","0","책상","서재/사무용가구"
"4","5","우선 군더더기 없는 깔끔한 디자인이 너무 마음에 들었습니다.
나무의 고급스러움이 절로 느껴졌으며, 가장 마음에 들었던건 색상이었습니다.
혹시라도 너무 밝아서 집에 톤과 안어울리까봐 걱정했는데 다행이 어두움 컬러여서 너무나 마음에 쏙 들었습니다.
2인용으로 사서 좀더 넓직하게 쓰고싶은 마음이 드네요!!
구매를 망설이신다면 꼭 구매하세요!","bsh9****","21.04.01.","0","책상","서재/사무용가구"
"5","4","코로나로 기사님이 설치 해주신다는거 됐다고 한 뒤
제가 설치 했습니다 설치는 쉬운데 .. 군데군데 찍힘 조금 있구요
큰 문재는 ... 의자 팔걸이 높이가 안맞아서 ㅠ 에휴 .. 
약속한 기간보다 2주는 빨리 왔습니다
누가 반품한 상품이었을꺼 싶기도 하고 .. 그냥 씁니다","mmmm****","21.04.07.","0","책상","서재/사무용가구"
"6","5","책상만 두 개 구입했어요. 사진과 같아요. 예쁘고 튼튼하네요. 서랍도 깔끔하고 예쁘고 마감처리도 잘 되어있어요. 원목이라 참 깔끔하고 예쁘네요.","cada****","21.02.15.","0","책상","서재/사무용가구"
"7","5","경기지역이고 15일에 최대한 빨리로 주문해서 20일(토) 오전9시에 배송기사님 오셔서 설치해주셨습니다~
코로나로 인해 재택하는 기간이 길어져서 구입했고, 집안 가구들이랑 어울리면서 맘에 드는 제품으로 찾았는데 딱 이에요!
생각보다 밝고 노란끼가 좀 돌지만 가격 생각하면 아주 만족스러워요~
다른분들 후기처럼 서랍폭이 있기때문에 기존에 사용하던 컴퓨터책상 의자 팔걸이가 서랍때문에 안들어가요~ 낮게 사용하던가 팔걸이 없는 의자가 좋을 것 같습니다
전 기존사용하던 의자 팔걸이를 뺐어요 ㅎㅎ
책상이 이쁘니 분위기도 기분도 더 나고 좋습니다~*","gray****","21.02.26.","0","책상","서재/사무용가구"
"8","5","자취하는 아들 책상으로 사줬어요.가격대비 책상 두께도 두껍고 튼튼해요.배송도 정말 빠르고 만족합니다.르포텐 가구 추천합니다.","quee****","21.04.08.","0","책상","서재/사무용가구"
"9","4","서랍이 사진처럼 찍혀서 왔어요 ㅠㅠ진짜 속상한데 교환 번거로워서 그냥 구매확정 했어요.. 배송기사님도 말씀하신것보다 일찍 오셔서 아침이었는데 하마터면 못 받을 뻔 했어요... 그래도 디자인과 색감이 예쁘고 고객센터 상담해주시는 직원 분이 엄청 친절하셔서 만족합니다 ㅠㅠ","sian****","21.03.15.","0","책상","서재/사무용가구"
"10","5","사전에 알림 주신 배송시간, 일자에 맞춰서 와주시고 설치는 금방 끝났어요 책상은 이미지랑 똑같고 넓고 시원해서 좋네요 ㅠ","3013****","21.04.08.","0","책상","서재/사무용가구"
