"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"1","4","디자인이 군더더기 없이 깔끔하고 침대와 나란히 두고 자주보는 책이랑 핸폰 충전기 등 손이 자주가는 작을 물건들을 수납하기 좋고 심플해서 좋았습니다.","ryou****","21.04.07.","0","책장","서재/사무용가구"
"2","4","나무 소재의 색감과 마감이 훌륭하고 부담스럽지 않은 크기로 수납이 많이됨... 단 큰책은 꽃기 어려움","1288****","21.04.06.","0","책장","서재/사무용가구"
"3","4","오래기다린 보람이 있네요
디자인도 재질도 맘에들어요","cuti****","21.04.06.","0","책장","서재/사무용가구"
"4","5","처음에 배송완료까지 한달 걸린다는 후기를 읽고도 설마하고 주문했으나, 정말로 책장을 받는데 30일 걸렸습니다. 
제품을 받으면 “나무를 심어서 키워서 책장을 만드는 줄 알았다”라는 리뷰를 남길려고 했으나, 막상 책장을 받아보니 “엄지척”하면서 만족해서 “제품이 참 좋습니다. “라는 리뷰를 결국 남기게 되네요. 잘 사용하겠습니다. 감사합니다","hski****","21.03.16.","0","책장","서재/사무용가구"
"5","5","상담도 친절하시고 배송 다들 늦는다던데 저는 2주?좀 넘게? 그 정도 걸린 거 같아요. 전 책수납장 말고 옷수납장 용으로 샀는데 위에 하나 더 올리려고 하나 더 추가 주문합니당ㅋㅋ","lay1****","21.03.18.","0","책장","서재/사무용가구"
"6","5","아주맘에듭니다. 담에 또 사야겠어요.","heem****","21.04.03.","0","책장","서재/사무용가구"
"7","5","너무좋군요. 조만간 또 살것같아요~~","heem****","21.04.03.","0","책장","서재/사무용가구"
"8","5","이번이 두번째 구매입니다. 
아기방 책꽂이로 딱 좋아요^^
배송은 느리지만 항상 만족하는 제품이에요!","junn****","21.03.22.","0","책장","서재/사무용가구"
"9","5","수납도 충분하고 냄새도 안나고 좋아요","ekql****","21.03.30.","0","책장","서재/사무용가구"
"10","5","배송전 전화도 미리 주시고 예상했던것처럼 이쁘요","ehff****","21.03.22.","0","책장","서재/사무용가구"
"11","5","예쁘고 실용적인 상품이라고 생각합니다. 배송 기간은 오래 걸릴거라 생각하고 주문했기에 기다림이 힘들지는 않았어요. 도착한후에 나무 가루(?)가 다소 많아서 닦느라 조금 힘들었어요. 살짝 수평이 맞지 않아 전화드렸는데 친절하고 상세하게 응대해주셔서 감사했어요","mini****","21.02.24.","0","책장","서재/사무용가구"
"12","4","그전에도 북케이스 잘 쓰고있어서 좋아서 또 주문했는데요 배송이 진짜 한달날짜 31일 풀로 채워도착했네요ㅠㅠ저번보다 더오래걸린듯해요 책장은 마음에들어요~보드게임으로 채울예정입니다ㅎ","dudd****","21.02.21.","0","책장","서재/사무용가구"
"13","5","저렴하게 잘 샀습니다. 기존에 쓰던거라 튼튼하고 만족해요.","fjai****","21.03.04.","0","책장","서재/사무용가구"
"14","5","2개 중 하나가 불량이였는데 빠르게 맞교환 처리해주셔서 좋았습니다 디자인이 마음에 들어서 선택했던건데 사진과 차이 없는 깔끔한 느낌입니다 좋아요","choc****","21.03.17.","0","책장","서재/사무용가구"
"15","4","구정이 끼어있긴했지만 배송이너무 오래 걸렸습니다.한달걸린듯. 전체적인 품질은 좋아보이나 사이즈는 생각했던것보다 약간 작네요.","korg****","21.02.23.","0","책장","서재/사무용가구"
"16","5","설치도 간단하고 생각보다 견고하고 이뻐요.","sar3****","21.03.06.","0","책장","서재/사무용가구"
"17","5","배송기간이 한달이상 걸렸습니다
가볍고 사진과 동일합니다","cok2****","21.03.23.","0","책장","서재/사무용가구"
"18","4","잘받았구요 원하는위치에 딱이쁘게수납했네요","best****","21.03.20.","0","책장","서재/사무용가구"
"19","5","잘받았습니다.재구매할께요","juhe****","21.03.22.","0","책장","서재/사무용가구"
"20","5","배송 빼고 맘에 듭니다. 명절 껴서 3주만에 받은것같네요. 제품은 깔끔하니 맘에 듭니다.","bewi****","21.02.20.","0","책장","서재/사무용가구"
"21","5","생각보다 이뻐요. 견고하고, 부드럽고. 틈새에 넣을 책장을 생각하고 주문했는데 만족합니다.","neve****","21.02.20.","0","책장","서재/사무용가구"
"22","5","배송은 한달정도 걸린 것 같네요. 오래 기다릴만해요. 오래오래 쓸 것 같아요","neve****","21.02.20.","0","책장","서재/사무용가구"
"23","3","배송이 너무 늦었어요 제품은 좋은것같은데 가격대비는 그럭저럭","core****","21.02.18.","0","책장","서재/사무용가구"
"24","5","좋아요 잘쓰고 있어요","hyer****","21.02.28.","0","책장","서재/사무용가구"
"25","4","이미 거실책장으로 밀리엔스꺼 다른 라인으로 사용중이라 믿고 주문했어요
전체적으로 마음에 듭니다 ^^","bell****","21.03.04.","0","책장","서재/사무용가구"
"26","5","아이 책 보관하려고 책장을 찾아보다가 샀어요. 튼튼하고 인테리어도 살려서 정말 만족합니다.","spac****","21.02.28.","0","책장","서재/사무용가구"
