"review_no","star","review","customerId","reviewDate","pd_no","librarycate_no","category_no"
"1","4","판매 리뷰만으로 구매 했는데 만족하는 편입니다~ 가격 만큼의 제품이라 생각 되네요~ 물건 받았을 때 밑에 받침대가 깨져서 왔는데 쓰는데 무리 없을거 같고 귀찮아서 그냥 사용 했네요~","bkar****","21.03.18.","0","사무/교구용가구","서재/사무용가구"
"2","4","가격 대비 쓸만합니다. 만족 합니다","bkm0****","21.04.05.","0","사무/교구용가구","서재/사무용가구"
"3","4","색상 좋고 디자인 좋고 
목부분 지지가 없어서 불편하고
의자 쿠션 힘듭니다 ㅠㅠ","hoya****","21.04.06.","0","사무/교구용가구","서재/사무용가구"
"4","1","가성비 인테리어 콘텐츠 때문에 구매했는데 
좀 아쉽네요. 깨져왔습니다..
2일 더 써본 후기입니다.. 
1점으로 바꾸고요. 깨진게 문제가 아니에요 
제 몸무게가 66키로이고 의자는 편집할때만 가만히 앉아 있습니다! 
2일 쓰고서 의자를 올리려고 하는데 안 올라가내요 설마 66키로도 못 버티면 성인 남자 대부분은 못 쓰지 않을가 싶습니다. 
가성비 치고도 어느정도의 금액이 있다고 생각하는데 그냥 다른 의자 구매 하려고합니다.","ddd8****","21.02.18.","0","사무/교구용가구","서재/사무용가구"
"5","5","조립 어렵지 않고 튼튼해요 가성비 좋음","stor****","21.04.07.","0","사무/교구용가구","서재/사무용가구"
"6","5","푹신하고 깔끔하고 너무 좋습니다~^^","dovi****","21.04.03.","0","사무/교구용가구","서재/사무용가구"
"7","5","와!! 동생 선물로 사줬는데 너무 맘에 들어 합니다!
주변에 추천 해야겠습니다!!","wodb****","21.04.06.","0","사무/교구용가구","서재/사무용가구"
"8","5","아..진짜 머든게 이가격에 다좋은데

엉덩이 쿠션 하나도없습니다

나무 의자 앉는거랑 비슷한정도에요

이만원 더주고 쿠션 스프링들어간거 사세요

진짜..엉덩이 딱딱한거빼고는 이가격에

좋습니다","dldm****","21.03.23.","0","사무/교구용가구","서재/사무용가구"
"9","5","갑오브더갑임 가성비 짱","0223****","21.04.06.","0","사무/교구용가구","서재/사무용가구"
"10","4","가격대비 좋은제품입니다. 딱 그만큼~좌석본체랑 연결하는 용접부위 마개같은게 깨져왔으나 별로 상관없어 그낭 사용하기로했습니다.","kb54****","21.03.23.","0","사무/교구용가구","서재/사무용가구"
"11","4","아직까지 덩치큰 아들이 잘 사용하고 있어요","ryun****","21.03.29.","0","사무/교구용가구","서재/사무용가구"
"12","5","할머님이 친구분댁 가셨다가 보시곤 
좋다얘기하셔서 똑같은걸로 찾아서 사드렸는데 엄청 좋아하시네요^^","psms****","21.03.19.","0","사무/교구용가구","서재/사무용가구"
"13","5","배송은 매우빠르고 좋아요~~다만 쿠션이 조금 딱딱하네요","como****","21.04.05.","0","사무/교구용가구","서재/사무용가구"
"14","4","만족합니다. 생각했던것 보다 커요.","cult****","21.03.20.","0","사무/교구용가구","서재/사무용가구"
"15","4","사무실에서 사용하기 괜찮아요~","rkdm****","21.03.25.","0","사무/교구용가구","서재/사무용가구"
"16","5","쿠션감이 사진보다 부족하지만 크게 부족함없이 편한 의자입니다","libr****","21.03.19.","0","사무/교구용가구","서재/사무용가구"
"17","3","일단 이물질 및 솜  마감처리가 영.. 그리고 다리쪽 은색 플라스틱 10개중에 4개  파손","2sjn****","21.04.06.","0","사무/교구용가구","서재/사무용가구"
"18","5","괜찮은거 같아요 
많이파세요","apea****","21.04.04.","0","사무/교구용가구","서재/사무용가구"
"19","5","이건 사야합니다..  진짜 완전 좋아요","moon****","21.04.03.","0","사무/교구용가구","서재/사무용가구"
"20","5","빠른배송 제품굿입니다.","psk1****","21.04.03.","0","사무/교구용가구","서재/사무용가구"
"21","5","좋아요. 또구매할게요~","u_92****","21.03.08.","0","사무/교구용가구","서재/사무용가구"
"22","4","가격만큼이네요.
조립은 크게 문제없고,
쿠션감은 사진의 느낌과는다르게.. 별로.
암튼 좋아요.","hoya****","21.02.26.","0","사무/교구용가구","서재/사무용가구"
