review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
17,5,"색상이랑 크기 딱 좋구 맘에 들어용 ㅎㅎ
배송도 잘해주셔서 감사합니다 ㅎㅎ
잘 쓸거 같아요 !",jmj6****,21.02.24.,1,화장대,침실가구
,,,,,,,
18,5,디자인이 예뻐서 샀는데 맘에 들어요!!!,seoy****,21.03.05.,1,화장대,침실가구
,,,,,,,
19,3,"정확한 날에 배송해주셨는데
문제는 거울은 상품에 포장되지않아서 거울만 나중에 따로 설치해주셨어요
근데 설치기사님이 언제 오실지 애매하게 말해주시고는 갑자기 전화해서 지금 간다고하시더라고요..
설치끝나고 거울포장지챙겨가시더니 신발신고 나가실때 “이런건 그냥 버릴수있죠? “하면서 저한테 주고가셨어요
배송ㅇ운제로 상품 애정도 그저그렇네요",qufd****,21.02.06.,1,화장대,침실가구
,,,,,,,
20,5,너무 맘에 들어요 잘사용 하고 있읍니다,pmmj****,21.03.20.,1,화장대,침실가구
,,,,,,,
21,4,"아담합니다.
중간정도",apci****,21.03.24.,1,화장대,침실가구
,,,,,,,
22,4,사용하면서 화장대 높이가 아쉬워요.,oyj7****,21.02.22.,1,화장대,침실가구
,,,,,,,
23,4,너무 예쁜데 서랍칸은 많이 작아요,devo****,21.02.22.,1,화장대,침실가구
,,,,,,,
24,4,화장대 갈라짐이있어서 글남겼는데 바로 교환처리 해주시기로했습니다,leeh****,21.03.03.,1,화장대,침실가구
,,,,,,,
25,5,아~~정말 대박입니다..화장대 넘 이뿌고 나무도 넘 좋고 냄새도 하나도 안나고 크기도 딱이고..정말 좋네요..가격이 넘 싼거 아닌가 싶네요..찐짜 강추입니다~~좋은 상품 넘 감사해요~~배송도 엄청 빨리 잘해주시공~감사합니다~~,sils****,21.01.11.,1,화장대,침실가구
,,,,,,,
26,4,"쓰다보니  
서랍안에잇는거있자나여 뭐 걸리지않게해논것같은데 
그것땀시 더걸려요 자꾸 뻑뻑하니 덜그럭걸리고 부드럽게열리지않습니당
잡아뜯어버리고싶은데 안뜯겨요 고정이 단단히되잇어여 
암튼 그래더 잘쓰고잇습니닷",jott****,21.02.06.,1,화장대,침실가구
,,,,,,,
27,5,깔끔하고 예쁜거 골랐다고 칭찬받았어요,dntj****,21.02.06.,1,화장대,침실가구
,,,,,,,
28,4,"디자인깔끔하고 튼튼해서 좋아요
배송설치 3만5천원은 좀 아깝네요
조립을 직접해도 좋을듯 합니다",peta****,21.02.16.,1,화장대,침실가구
,,,,,,,
29,5,배송은 느렸지만 디자인모두맘에들어요,jyt0****,21.02.22.,1,화장대,침실가구
,,,,,,,
30,5,보는 사람 마다 어디서 샀냐고 물어봅니다.,tear****,21.02.25.,1,화장대,침실가구
,,,,,,,
31,5,배송도 빠르고 만족스럽습니다,futu****,21.02.25.,1,화장대,침실가구
,,,,,,,
32,5,"이 금액에 이정도 퀄리티라니
이건 꼭 사셔야 합니다 ㅎㅎㅎ
원목결 좋고
마무리까지 괜찮습니다",spec****,21.01.22.,1,화장대,침실가구
,,,,,,,
33,5,너무 맘에드네요  딸아이방에도 하나 장만한까 합니다,pmmj****,21.02.10.,1,화장대,침실가구
,,,,,,,
34,5,배송 날자도 지켜주시고 깔끔하니 좋네요.,sm24****,21.01.24.,1,화장대,침실가구
,,,,,,,
35,5,판매자분의 빠른 응대 좋았어요,loui****,21.02.17.,1,화장대,침실가구
,,,,,,,
36,5,"튼튼하고 이뻐요
싸구려 같은거랑 확실히 다른거 같아용!!!
고급져보여요 배송도 빠르고 짱
정리만 잘하면 될거 가타여",www1****,21.01.12.,1,화장대,침실가구
,,,,,,,
37,5,맘에 들어요. 사진그대로 상품. 마감도 좋아요.,bana****,21.02.06.,1,화장대,침실가구
,,,,,,,
38,5,싸게 잘 샀습니다^^ 대만족,2052****,21.02.08.,1,화장대,침실가구
,,,,,,,
39,3,"깨져왔어여 ..
수평도안맞구
흔들흔들 다리가 부실해요 
걍써여..싼게..",jott****,21.01.06.,1,화장대,침실가구
,,,,,,,
40,5,책상겸용으로 사용하기에 좋습니다,dntj****,21.01.18.,1,화장대,침실가구
,,,,,,,
41,5,색상도 이쁘고 견고해요.침대와 세트로 샀더니 방안 분위기가 사네요~^^,cats****,21.01.23.,1,화장대,침실가구
,,,,,,,
42,5,잘 받았습니다~~~,gemi****,21.02.05.,1,화장대,침실가구
,,,,,,,
43,5,대만족이에요! 저렴한 화장대들과는 차원이 다릅니다,loon****,20.12.29.,1,화장대,침실가구
,,,,,,,
44,5,"심플하니 생각했던대로예요
로포텐 믿고 구매합니다
가격대비 품질이 아주 맘에 듭니다^^",esj6****,20.12.27.,1,화장대,침실가구
,,,,,,,
45,5,"아주  견고하고 클래식해서  맘에
드네요~",ango****,21.01.23.,1,화장대,침실가구
,,,,,,,
46,5,색상 이뻐요 잘 쓸께요,6389****,21.01.05.,1,화장대,침실가구
,,,,,,,
47,5,사이즈도 좋고 사용하기 좋아요,memo****,21.01.02.,1,화장대,침실가구
,,,,,,,
48,5,정말 이쁩니다. 흔들어도 흔들리지 않고 무척 튼튼합니다. 이가격에 이런 제품이라니... 강력 추천합니다.,tear****,21.01.04.,1,화장대,침실가구
,,,,,,,
49,5,괜츈 수납 많이 안하시는분들 추천,cksg****,20.12.27.,1,화장대,침실가구
,,,,,,,
50,5,튼튼하고 넘 예뻐요 가성비갑이에요 대만족,govk****,20.12.21.,1,화장대,침실가구
,,,,,,,
51,5,깔끔하고 디자인 예뻐요 만족합니다!,sadi****,20.12.23.,1,화장대,침실가구
,,,,,,,
52,5,예뻐요~ 수납공간 도 전 적당해요,puin****,21.01.12.,1,화장대,침실가구
,,,,,,,
53,5,깔끔한 디자인에 질리지 않고 오랫동안 잘 사용 할 거 같아요~또한 설치 기사님 너무 친절하셨습니다. 기분좋은 제품 구매였습니다~^^,oyj7****,20.12.03.,1,화장대,침실가구
,,,,,,,
54,3,전체샷은 이쁜데 문제점이 보여요ㅜㅜ,unih****,20.11.23.,1,화장대,침실가구
,,,,,,,
55,5,상품 맘에 듭니다!!,hmki****,21.01.11.,1,화장대,침실가구
,,,,,,,
56,5,"튼튼하고 원목이라 따뜻한 느낌이네요~~^^
설치기사분도  친절하셔요~~
일주일정도  걸렸어요
기대한 만큼...만족해요~
화면에 있는 회전의자도 같이 주문하고 싶었는데
품절이라...따로 구매했는데...
화장대랑 잘 어울려서 좋았네요~^^♡",zz38****,20.11.24.,1,화장대,침실가구
,,,,,,,
57,5,"딸아이 선물해줬는데 내구성도
좋고 디자인 고급스럽네요",heeb****,20.12.30.,1,화장대,침실가구
,,,,,,,
58,5,잘 사용하고 있습니다,eeee****,21.01.07.,1,화장대,침실가구
,,,,,,,
59,4,저렴한 가격에 원목 화장대 그럭저럭 만족하며 쓰고 있어요~ 그런데 서랍장 냄새가 잘 안빠지네요ㅠㅠ 고정용 플라스틱때문에 물건이 좀 찍혀서 많이는 안 넣고 있어요 나중엔 플라스틱을 후기처럼 분리할까 생각중이예요 워낙 서랍이 얕은건 알고사서 쓸만합니다^^,chow****,20.11.15.,1,화장대,침실가구
,,,,,,,
60,5,가성비최고. 제가 샀던 가구 중에 제일 맘에 들어여 ㅎㅎ 이뿌고ㅎ 근데 서랍안에 걸리는? 부분이 있던데 그건 어떻게 하죵 그냥 놔둬야하는건가요,govk****,20.11.23.,1,화장대,침실가구
,,,,,,,
61,4,수납공간은 부족하지만 알고 구매한 부분이고 너무 예뻐요 완전 만족 ㅜㅜ,hidd****,20.12.08.,1,화장대,침실가구
,,,,,,,
62,5,원하던 디자인 색상 사이즈 그대로네요 수납도 충분하고 무겁고 견고해서 오래쓸 듯 합니다 기다린 만큼 만족스러워요??,tnwl****,20.11.28.,1,화장대,침실가구
,,,,,,,
63,5,"심플하고 군더더기 없는 디자인이에요.
화장품이 많지 않아서 수납공간도 적당하고
자리를 많이 차지하지 않아서 방안에 두기 딱 좋아요",kime****,20.11.19.,1,화장대,침실가구
,,,,,,,
64,4,수납은 그냥그래요 전에 본게 품절이라 이제품으로 사서 쓰고 있는데 쏘쏘~,yuny****,20.12.20.,1,화장대,침실가구
,,,,,,,
65,4,"서랍장 안에가 못이 튀어나왔어요
그리고 화장대 위부분이 홈이 파였네요
배송시 파손된건 아닌것같고 원래그런 판으로 만드신건지
배송기사분께 말씀드리니 여기에 문의하시라 하네요
할인을 받든 하시라고",yuny****,20.11.10.,1,화장대,침실가구
,,,,,,,
66,5,적당한가격에 만족합니다,848w****,20.12.05.,1,화장대,침실가구
,,,,,,,
67,5,나무결이랑 색깔이랑 예뻐서 가격대비 너무 훌륭합니다 수납공간이 많지 않은 점은 감안하거 구매하세요^^!,yuri****,20.10.31.,1,화장대,침실가구
,,,,,,,
68,5,이사와서 산 가구중에 제일 맘에드는것중 하나예요,silv****,20.11.30.,1,화장대,침실가구
,,,,,,,
69,5,"주문일로부터 대략 2주 정도 소요가 된다고 하셨는데 며칠 안에 생각보다 빨리 도착하여 좋았어요.^^
화면에서 보았던 대로 깔끔하고 예뻤어요.^^
잘 사용하겠습니다.^^",latt****,20.11.10.,1,화장대,침실가구
,,,,,,,
70,5,"아주 맘에 듭니다..
주문하고 원하는 날짜에 잘 받았습니다..",lina****,20.12.17.,1,화장대,침실가구
,,,,,,,
71,5,디뜰림이 생겨서  마누라가 나가 죽으래요,tktl****,20.12.16.,1,화장대,침실가구
,,,,,,,
72,5,너무 이쁘고 튼튼하고 놀라운 가격에 놀라운 품질!!! 강추합니다. 딸램 생일 선물이였는데 너무 마음에 들어하네요...,ckh7****,20.11.05.,1,화장대,침실가구
,,,,,,,
73,5,"주택에서 사시다가 일흔 넘어 아파트이사
인생 첫 화장대 선물을 했습니다.
높이도 적당하고 거울도 고급스럽고
회전의자도 좋아라 하시네요.
배송도 주문후 희망일보다 빨리왔네요.
추천합니다~~^^",memo****,20.10.24.,1,화장대,침실가구
,,,,,,,
74,5,저렴한 가격에 잘 샀어요 여자친구 선물로 사줬는데 좋다고 하네요,jysr****,20.11.28.,1,화장대,침실가구
,,,,,,,
75,4,서랍 안에 고정 장치가 조금 불편해요,wjdd****,20.12.08.,1,화장대,침실가구
,,,,,,,
76,5,배송도 빠르고 냄새도 없고 좋아요,chan****,20.12.07.,1,화장대,침실가구
,,,,,,,
77,5,"맘에 들어서 매장에서도 한번 보고  동생꺼랑 두개 샀는데 사용하니 더 좋습니다. 
화장대 받고 연휴여서 집을 비우는 바람에 제대로 확인을 못했는데 거울쪽 나무에 흠이 있어서 문의하니깐 친절하게 응대해주시고  교체해주셨어요!! 넘 감사해요^^
이쁘게 잘 사용할께요!",hemi****,20.10.15.,1,화장대,침실가구
,,,,,,,
78,5,딸아이가 너무너무 맘에 들어해요~^^,wumi****,20.11.05.,1,화장대,침실가구
,,,,,,,
79,4,생각보다 작은데 화장대는 이뻐요,muha****,20.12.03.,1,화장대,침실가구
,,,,,,,
80,5,재질도 좋고 깔끔하니 고급스럽네요,heeb****,20.11.30.,1,화장대,침실가구
,,,,,,,
81,4,배송날짜도 희망에 도착하고 가구디자인도 예뻐 방분위기랑 잘 맞았어요,kkkm****,20.11.07.,1,화장대,침실가구
,,,,,,,
82,5,"가격대비 정말 좋은 제품인것같아요!
한달쯤 써본 저의 의견은
일단 첫번째로 디자인.. 너무 마음에 들고요
색상도 화면에 나온 색 그대로입니다
우드톤을 좋아해서 구매했는데 맘에 들어요
두번째 흔들거리지 않고 튼튼하고요!
세번째 사이즈도 적당합니다
다만 서랍 사이즈가 생각보다 작을 수 있는데 이건 제가 이미 알고 구매한거고 서랍이 커지면 지금의 이 디자인은 없을거라도 생각해서 저는 만족해요b",gkst****,20.09.30.,1,화장대,침실가구
,,,,,,,
83,4,대체적으로이쁘고 만족합니다만 서랍에서냄새가나요ㅜㅜ곧빠지겠죠?,sh83****,20.11.10.,1,화장대,침실가구
,,,,,,,
84,5,"수납공간은 진짜 적지만
예뻐서 다 용서돼요~~~~",pey5****,20.11.04.,1,화장대,침실가구
,,,,,,,
85,5,깔끔하고 무난하고 가성비 좋습니다,heyy****,20.10.27.,1,화장대,침실가구
,,,,,,,
86,5,좋네요 튼튼합니다 무거워서 견고한듯 합니다 배송은 조금 오래 걸린것 같아요,sdm5****,20.10.21.,1,화장대,침실가구
,,,,,,,
87,5,"배송도 예상일보다 빨리해주시고 
원목색이 사진과 같앗습니다 무엇보다 싼티도안나고 짱짱해서 오래쓸것같아요",love****,20.11.02.,1,화장대,침실가구
,,,,,,,
88,5,"수납공간이 부족한것 제외하고는 디자인 나무 느낌 모든게 만족스러워요~ 
가격대비 고급스럽기까지 하고요 ㅎㅎ",staw****,20.10.07.,1,화장대,침실가구
,,,,,,,
89,5,사진도 너무 이쁜데 실물은 더 이뻐요~~아이가 너무 맘에들어해요^^,wumi****,20.10.06.,1,화장대,침실가구
,,,,,,,
90,5,생각했던것보다 실제 더이뿌고 마음에들어용,yhj2****,20.10.27.,1,화장대,침실가구
,,,,,,,
91,5,"한달이상 잘 사용 하고 있습니다~
너무 맘에 들어용! 모던합니다
잘 사용 하고 있어요 :)",barb****,20.10.19.,1,화장대,침실가구
,,,,,,,
92,5,"지정일에 배송 잘해주셨어요~
의자가 있어야 거울이 보이니~ 꼭 필요할거 같고요~
가구는 단순하지만  깔끔하고 이뻐요~
수납이 많이 안된다는거는 알고 구매했기 때문에~
대체로 만족합니당~",clev****,20.10.26.,1,화장대,침실가구
,,,,,,,
93,3,다 맘에들고ㅜ젛았어요 그런대 서랍이 너무 낮아서 물건이 너무 안들어가고 열고 닫을때 서람 빠지지 말라고 벅아논 고정핀?이 오히려 사용할까 불편했어요,saig****,20.08.27.,1,화장대,침실가구
,,,,,,,
94,5,예쁘고 가격도 착한데 서랍이 좀 불편해요,b_or****,20.10.22.,1,화장대,침실가구
,,,,,,,
95,5,배송날짜 딱 맞쳐서 친절한 기사분 잘~~~설치해주셧어요!!!!! 가구도 100점 배송도 설치하신분도 모두 만족합니다!!!,ya59****,20.10.14.,1,화장대,침실가구
,,,,,,,
96,5,"수납 공간 많지 않은건 알고 구매해서 상관없어요!
어차피 스킨 로션처럼 긴것들은 화장실장에 보관하고
메이크업만 할거라서요~~~~
너무 맘에 쏙들고 좋아요!
커피쿠폰 주세요오오오옹",pey5****,20.09.28.,1,화장대,침실가구
,,,,,,,
97,5,"배송시간을 정하지못하는것 빼곤 
호ㅏ장대 디자인은 이쁘고 좋아요 ㅎㅎㅎ
의자도 이쁘구요!!!",ouou****,20.10.27.,1,화장대,침실가구
,,,,,,,
98,4,깔끔해요 무난합니다,sksk****,20.10.23.,1,화장대,침실가구
,,,,,,,
99,5,"수납공간이  조금 부족하긴햬도
딱! 원하는 스탈이라 좋아요!",sukh****,20.11.03.,1,화장대,침실가구
,,,,,,,
100,5,"기사님도 친절하게 조립해주시고 원목도 좋네요
적극추천합니다",sang****,20.10.14.,1,화장대,침실가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,5,"신혼집에 들일 화장대 고심해서 골랐는데 너무 마음에 들고 두달 넘게 잘쓰고 있어요. 화학성분에 예민해서 친환경 원목 제품만 찾아봤는데 처음 왔을때 냄새도 안나고 침실에 두고 쓰면서 불편하다고 느낀적이 없네요. 
특히 수납공간이 많고 깊어서 왠만한 화장품과 소지품 여기에 모두 넣었고요 한눈에 찾기도 쉬워서 화장대에만 앉으면 기분이 좋아요^^ 
신랑도 보자마자 잘샀다고 칭찬해주고  가끔 안경 닦는거 찾으러 오면 한번에 잘 찾습니다~ 거울도 안정감 있게 잘 서있고요 따로 주신 나무랑 나사로 나중에 필요하면 고정하려고 해요. 오래오래 정들이면서 잘 사용할께요 튼튼하고 좋은 제품 만들어주셔서 고맙습니다^^",dnjs****,21.02.17.,2,화장대,침실가구
,,,,,,,
2,5,집 이사를 하면서 산 화장품인데 아주 잘 쓰고있어요! 가구 냄새도 많이 안나고 무엇보다 수납공간이 많고 좋아서 화장품 외에도 악세사리등도 정리하기 딱 좋습니다. 의자는 집에서 사용하던 걸 그대로 쓰고 있는데 꼭 세트처럼 잘 어울려서 좋아요! 앞으로도 잘 사용할게요!,0905****,21.04.04.,2,화장대,침실가구
,,,,,,,
