review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,4,배송은 구매후 5일 만에 받은 거 같습니다. 제품이 원목이라 무겁기는 하지만 튼튼하고 좋아요. 약간 크랙부분이 있기는 한데 그럴 수 있다 생각하고 쓸랍니다. 그런데 쇼바 댐퍼가 너무 힘이 없네요. 가스가 빠져나가서 불량인건지 덮개 무게가 무거운 건지 닫을 때는 전혀 압력 발휘를 못하네요. 이부분은 판매자에게 따로 질문해야 겠습니다. 물건은 좋아요^^,simo****,21.03.25.,0,화장대,침실가구
,,,,,,,
2,5,"넘 이뻐요!!
배송도 원하는 날짜에 바로 해주시고!!!
원목에 기스 하나 없고
의자도 움직일 때 소리 하나도 안나고!!!!
가구 냄새는 조금 났지만 환기 열심히 시켜서 지금은 괜찮네요 ♡♡",diam****,21.04.07.,0,화장대,침실가구
,,,,,,,
3,5,"기존에 있던 화장대 정리하고 미니멀하게 사용하고 싶어서 소지품도 정리하고 수납했더니
딱 좋아요 배송도 빨랐고 설치도 잘 해주셨어요 색감이 원했던 색이라 더 맘에 들어요~
의자는 화장대 냉장고 받침대로 쓰고있어요
집에 남는 의자가 있어서 사용하니 딱 좋아요",rami****,21.04.01.,0,화장대,침실가구
,,,,,,,
4,4,설명을 잘 못봣는지 테이블뚜껑에 완충장치가 없어서 살짝 불안한거빼고는....괜찮아요 ㅋㅋ기사님도 오셔서 다리만뚝딱 조립하니 시간도 단축되고 편하더라구여 나무냄새살짝나는건 금방빠지구여 오른쪽서랍도 드라이기들어갈정도로 충분해요!,ajdu****,21.03.31.,0,화장대,침실가구
,,,,,,,
5,5,"엄마 사드렸는데 엄청 마음에 들어하셨어요.
색도 예쁘고 튼튼하고 무게감이 있어서 거울 들었다 내릴때는 조심해야될 거 같아요",skqo****,21.03.28.,0,화장대,침실가구
,,,,,,,
6,5,"이사하면서 큰맘먹고 로포텐 비버 침실가구 거실가구로 전부 바꾸었어요. 배송전 부터 가구 주문량이 많다보니 고객센터에서 친철하게 꼼꼼히 체크전화 해주시고 주문배송 날짜도 최대한 맞춰주셨구요. 가구 도착해 보자마자 우와~~ 이랬네요. 너무 이뻐서요. 가구 배치 다 하고 꼼꼼히 보면서 닦았는데 어디 흠잡을곳이 없네요. 가구 냄새도 많이 심하지 않구요.
? 배송설치 기사님 혼자 오셔서 한 3시간 넘게 하신듯 합니다. 너무 고생많으셨고 친절하게 잘해주셨어요. 식탁주문한게 3월 말에 입고된다니 3월말에 다시 오시겠다고ㅋㅋ",ggog****,21.03.03.,0,화장대,침실가구
,,,,,,,
7,4,배송일 지정했는데 기사님한테 조정해 달라고 별도로 연락 받았어요. 배송일 지정이 무슨 의미가 있나 싶구요. 화장대는 무난하고 괜찮습니다. 다만 뚜껑 열고 닫을 때 손 찧을 위험 있어서 조심해야 해요.,gz_l****,21.03.31.,0,화장대,침실가구
,,,,,,,
8,4,이쁘네요~^^잘 쓸게요~~,thyn****,21.03.25.,0,화장대,침실가구
,,,,,,,
9,1,"상판이 하루 하루 지날수로 위쪽으로 휘어져 올라옵니다. 
댐퍼 기능이 없어서 손가락 다치기 딱 좋아요..ㅜ.ㅜ",hoon****,21.02.27.,0,화장대,침실가구
,,,,,,,
10,5,"제가 이사하면서 주문한건데요 주소를 전집으로 잘못지정했는데 기사님께서 바로배송을 해주셔서 너무 감사했습니다^^
상품 너무 맘에 들고요 사진 그대로 입니다
설치도 친절하게 해주셨어요~~^^♡",mees****,21.02.17.,0,화장대,침실가구
,,,,,,,
11,4,사진은 조금 더 붉은 느낌이었는데 실제론 그렇지 않아 약간 아쉽네요 ^^ 스크래치나 찍힘 세 군데 정도 있었으나 그냥 쓰려 합니다,heyo****,21.02.09.,0,화장대,침실가구
,,,,,,,
12,5,"실제로 받아보니 더 이뻐요!
이사하면서  구입한 제품들중에 제일 마음에 들어요!
먼지 쌓이는게 싫어서 뚜껑덮는 스타일로 구입한건데 너무 잘한거 같아요! 수납공간도 충분이 여유있고요 색상도 사진이랑 크게 다를게 없고 특히 붉은끼가 없어서 더 만족스럽습니다. 좋은제품 잘 쓰겠습니당",jsmo****,21.01.24.,0,화장대,침실가구
,,,,,,,
13,5,제품은 당연히 좋고 배송해 주시는 기사님 정말 친절하고 빠르게 배송해주셨습니다,alsd****,21.03.04.,0,화장대,침실가구
,,,,,,,
14,5,많이들어가고 색도 이뻐요,blan****,21.01.28.,0,화장대,침실가구
,,,,,,,
15,5,"원하는 사이즈와 색상 견고함 모두 마음에들어요
잘 사용할게요~",zose****,21.02.07.,0,화장대,침실가구
,,,,,,,
review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,2,"화장대에서 벌레가 나왔어요
너무 징그러워서 배송기사님한테
서랍빼서 다 확인해달라고 했는데
서랍안엔 없네요
기사님께서 창고있을때 박스에 들어가있던것
같다고 하시든데 사용해보고 벌레가 또 나오면
교환해 주시거나 반품해주세요",zyoo****,21.03.24.,1,화장대,침실가구
,,,,,,,
2,5,"본의아니게 이름을 알리게 된 김x나 라고 합니다
생에 첫 화장대를 갖게 된 동생을 위해 레이스 좀 깔아줬더니
퇴근하고 보고는 난리 난리~ 내가 여자냐고 
레이스 접더니 아 화장대 이쁘네 ~하네요 
급한건 아니었는데 주문하고 빨리 설치 받았어요
제가 쓸 화장대를 구입한게 아니라 남동생이 요새 갑자기 
누나 나도 방에 화장대 놓을까?라기에 게이냐?화장 왜하냐 했더니 아니 스킨로션 뭐 안경집 같은거 정리대 겸 
그래 하나 사줄게 하고 구입했는데
정말 수많은 사이트에서 한 3일 정도 본 것 같아요 
고무나무 원목이 저렴한 원목인데 가성비가 좋거든요 거울에 비치는 침대 헤드프레임도 고무나무인데 디자인도 이쁘지만 냄새도 없고 원목 색도 이쁘고 해서 만족했던 제품인데 이 화장대도 고무나무가 원료이고 색이 침대와 찰떡이네요 
원목이 아닌 제품에 원목 무늬 시트지 붙인 제품하고 다르죠 
20대엔 저렴하다고 그런 가구 샀다가 까지고 뜯기고 그런 경험 후 절대로 시트지 가구 안사요 ...그당시 구입했던 시트지 가구도 
작은 화장대 기준 20선이었음
이 화장대를 구입하게 된 계기가 수많은 사이트 수십건의 물건을 봤어도 원목에 이가격이 없으며 디자인이 매우 심플해서 그점에서 많이 끌렸어요
후기에 보면 서랍에 넥타이도 안들어 간다 라는 후기를 보고 
아...장식용 서랍인가 심한데...걱정을 했으나
안경집 두꺼운거(썬글라스류) 6개 정도 들어가구요 한칸에
또다른 한칸엔 동생 얼굴에 붙이는 팩 열댓장~그리고 자질구리한 충전기류 이런건 트레이 하나에 싹 담아서 넣었더니 너무 깔끔해요
서랍이 작지만 여자가 사용할 경우 립스틱이나 샘플류 트레이에 정리해서 충분히들어가며 옆칸엔 화장솜 면봉 이런거 넣음 되겠던데요
아 드라이기는 안들어갑니다 옆에 거세요 ㅋㅋ

거실장  주방가구  장롱 비싼 수입가구도 사봤고 이렇게 저렴한 가구도 사봤지만 100%완벽한 원목가구는 없어요 
기스나 찍힘은 어느정도 감수해야 할 부분이라 생각합니다.
눈에 불을 켜고 구석구석 찾으면 어느 가구건 나오더라구요

정말 저렴한 가격에 예쁜 화장대 감사합니다.
가구 사게 되면 이 회사 기억했으니 다시 올게요",gkss****,21.01.19.,1,화장대,침실가구
,,,,,,,
3,5,배송은 구매후 따로 연락주셔서 사이트보다 더 빠릅니다. 서랍공간 생각보다 적습니다. 다른면으론 그래서 더 씸플하게 쓸수 있습니다. 배송기사님이 직접 설치 다해주십니다. 문제가 거울인데;; 거울각이 고정이라서 조금아쉽습니다. 가격대비 이만한게 없습니다. 추천은 만점 드립니다. 잘쓸께요 :),ljh0****,21.03.25.,1,화장대,침실가구
,,,,,,,
4,4,"전체적으론 괜찮아요 디자인이나 컬러 유사하구요.
근데 그런 채로 왔는지 설치중 까진건지.. 다리가 뜯겼구요  거울밑쪽이 흠이 있네요  막크진 않은데 뽑기운이 안좋았던듯요ㅠㅠ 서랍안쪽 거칠구요  잘 안보이는 쪽은  마감이 좀 미흡하게 돼 있는 부분이 꽤 있어요. 가격이 저렴하니 감수하고 쓸만하구요 자세히 신경쓰지않음 크게 거슬릴 건 아닐듯도^^;; 서랍냄새도 좀 오래가구요..",wway****,21.02.22.,1,화장대,침실가구
,,,,,,,
5,5,"침대프레임 사면서 세트로 화장대도 구입했어요.
디자인 너무 예쁘고 화장대 겸 책상대용으로 쓰려고요
서랍은 처음 주문할때 작은거 알고 있어서 책상서랍용으로 간단한것 넣으려고요.
가격도 좋고 좋은제품 감사합니다^^",hyej****,21.04.02.,1,화장대,침실가구
,,,,,,,
6,5,회장대 위에 여러가지 저의 기존의 아이템을 배치해서 어지러워 보이는데  화장대 자체는 아주 깔끔!하고 정사이즈의 화장대입니다. 나무결  구석구석 마감도 부드럽고 좋은 화장대라고 생각됩니다. 심플한 원목 화장대로 딱 알맞아요! 추천합니다~,park****,21.03.11.,1,화장대,침실가구
,,,,,,,
7,5,"화장대 너무 잘산거같아요 !
튼튼하고 무엇보다 이 금액에 싸구려 같지도않고 
고급스러워보여요",www1****,21.03.17.,1,화장대,침실가구
,,,,,,,
8,5,퀄리티&배송 모두 만족입니다. 원목이 아주 좋네요 냄새도 하나도 안나고 정말 좋아요 서랍 레일 아닌것도 맘에들고 안쪽에 서랍빠짐방지(?) 장치도 있어서 퀄리티 좋아요,bobb****,21.03.27.,1,화장대,침실가구
,,,,,,,
9,5,"벌써 구매한지 2달이 넘었네요
남동생이 매우 만족하며 쓰고있어요
남자 기초 여러개 올려두고 쓰고 스투키화분 소형~휴지~올려둬도 답답함 없어요
서랍엔 잡다구리한거 넣고 쓰네요
심플하니 좋아요",gkss****,21.03.30.,1,화장대,침실가구
,,,,,,,
10,5,"실제로 받아보니 이쁘고 심플하네요^^
밑에 서랍은 솔직히 작아요~수납은  많이 못하지만
알고 산거고 저는 작은물건만 넣어둬서 문제는 없어요~~ㅎ
배송이 아침7시에 온다해서 놀랐지만ㅋ",eve0****,21.02.10.,1,화장대,침실가구
,,,,,,,
11,4,짐이 많아서 귀퉁이 찍어봤어요 크기도 딱맞고 예뻐요,alth****,21.03.21.,1,화장대,침실가구
,,,,,,,
12,5,잘 사용하고 있습니다. 다만 거울이 낮아 조금 아쉽습니다.,eunh****,21.03.20.,1,화장대,침실가구
,,,,,,,
13,5,처음에는 사이즈가 생각보다 작은것 같다고 하셨는데 불필요한것들을 치우게되어 더 깔끔하게 사용하실수있어서 만족해요,bonb****,21.04.04.,1,화장대,침실가구
,,,,,,,
14,5,이 가격에 이쁜 화장대 사서 기분 좋으네요.ㅎ 배송도 빨리 오고 제품도 튼튼합니다.ㅎ 좋아요 ~,ooal****,21.03.15.,1,화장대,침실가구
,,,,,,,
15,5,"침대와같이 주문했어요.
로포텐 식탁을 어머님댁에 선물해드렸는데 
마음에 들어하셔서 침대와 화장대도
망설임 없이 로포텐으로 결정했습니다.

사진처럼 예쁘고튼튼하고 좋습니다.
원목이라 어머님도 매우 만족해하시네요^^
추천하고싶은 제품입니다.",bonb****,21.02.19.,1,화장대,침실가구
,,,,,,,
16,5,"고급집니다^^
이가격대에 잘 산거 같아요~~

수납공간은 작습니다 ㅎ",remi****,21.03.02.,1,화장대,침실가구
,,,,,,,
