review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
10,3,"낮 시간이면 기다림이 그리 불편하지 않을수 있었겠지만 약속시간에 늦을것 같다고 전화 한 통 주심 식구들 식사라도 할 수 있었을텐데 배송 부분은 참 아쉽네요..
물건은 수납은 좋으나 제가 받은 제품은 다리가 불량이네요.
뽑기운이 안좋았다 생각하고 그냥 쓰려구요.",pret****,21.03.12.,1,서랍장,침실가구
,,,,,,,
11,4,깊이가 얕고 높이는 다소 높아요. 유리도 같이 주문했는데 깔고 보니 유성매직으로 글씨가ㅠ,khk6****,21.03.26.,1,서랍장,침실가구
,,,,,,,
12,3,"무난하네요 생각보다 이쁜 그레인
 아니었구요",khj1****,21.04.01.,1,서랍장,침실가구
,,,,,,,
13,5,배송기사님 너무너무 친절하시네요. 티비장으론 높지만 예쁩니다,rach****,21.03.27.,1,서랍장,침실가구
,,,,,,,
14,5,"댓글보고 냄새가 난다 마감처리가 이상하다는둥 글들이 '' 걱정했는데 웃음이나오더군요^^
겐이 걱정했네요 ~냄새는 가구마다 나는냄새 아주약간 가구 마감처리~ 사람들댓글 어이가없더군요~ 마감처리 이정도면 우수한편인데 물론 사람들마다 평가하는게 다르지만 전 아주 마음에들고요 누나뿐만아니라 지인들 싸게 잘구입했다고 방이 시원하면서 깔끔한느낌 아무튼 넘우 이쁘고 마음에 듭니다  그리고 기사분도  빨리 안전하게 배송과 날이 춘운날씨에 넘우 고생하시구 코로나때문에 이시국에 감사드립니다 판매분 기사분 건강조심하시구 감사합니다^^ 아참~ 거울은 아직취소 제주문하는바람에 배송중~^^",love****,21.01.25.,1,서랍장,침실가구
,,,,,,,
15,5,"매장에서 직접 보고 주문했습니다
실제가 더 예쁘고 고급스럽습니다
TV를 올려 놓았을 때 안정적이며 무엇보다 수납공간이 많아 만족스럽습니다
그레이색상이지만 그린계열이 섞여 있는 듯하고  문 색깔과 비슷하여 더 마음에 드는 수납장입니다 강추합니다!!",hyhk****,21.03.07.,1,서랍장,침실가구
,,,,,,,
16,5,"댓글보고 냄새가 난다 마감처리가 이상하다는둥 글들이 '' 걱정했는데 웃음이나오더군요^^
겐이 걱정했네요 ~냄새는 가구마다 나는냄새 아주약간 가구 마감처리~ 사람들댓글 어이가없더군요~ 마감처리 이정도면 우수한편인데 물론 사람들마다 평가하는게 다르지만 전 아주 마음에들고요 누나뿐만아니라 지인들 싸게 잘구입했다고 방이 시원하면서 깔끔한느낌 아무튼 넘우 이쁘고 마음에 듭니다  그리고 기사분도  빨리 안전하게 배송과 날이 춘운날씨에 넘우 고생하시구 코로나때문에 이시국에 감사드립니다 판매분 기사분 건강조심하시구 감사합니다^^ 아참~ 거울은 아직취소 제주문하는바람에 배송중~^^",love****,21.01.25.,1,서랍장,침실가구
,,,,,,,
17,5,"예뻐요
잘어울려요
고퀄이고 정말 비싼가구같아요",pret****,21.03.23.,1,서랍장,침실가구
,,,,,,,
18,3,이뿌네요 재질도좋구요 다만배송비가너무비싸서별두개뺏습니다,xiah****,21.04.05.,1,서랍장,침실가구
,,,,,,,
19,4,배송은 제날짜에 왔는데 사이드가 찍혀있었어요 배송에 좀더신경써 주셨음해요 그래도 가구는 너무이쁩니다,vivi****,21.03.30.,1,서랍장,침실가구
,,,,,,,
20,5,"어제 배송받아서 바로 리뷰써요
너무좋으네요
3단 5단 다 구매했어요
냄새도 거의없어요
신랑도 생각보다 냄사가없어 놀라더라구요
또  디자인도 너무맘에들어요  깔끔하니 조아요  화이트색상이여서인지 더 환해보이고
깔끔그자체에요~~~
수납공간이많아서  정리가잘되요~~^^
튼튼하니 가구품질도좋은것같아요
오래쓸것같아요  
전에 리뷰에서 마감처리가 잘안된부분을봤는데  개선되었는지 흠잡을뎇없어요
주문할때 고민을 많이 했는데  
만족도 조아요  가성비도 갑이구요
배송기사님들도 친절하시구요
잘쓸게요
가구보러 경기도시흥까짖가서 보고왔는데
미라제사길 잘한것같아오~~^^",ssun****,21.01.20.,1,서랍장,침실가구
,,,,,,,
21,5,생각보다  튼튼하고  이뻐욤..,choi****,21.03.28.,1,서랍장,침실가구
,,,,,,,
22,5,"한달넘게 사용했는데 집분위가 확 달라졌구요~
오시는 손님들마다 이쁘다구 하네요.선택하시면 후회없을듯",hiya****,21.03.03.,1,서랍장,침실가구
,,,,,,,
23,4,"디자인도 괜찮고 배송시간도 잘 맞춰 주셨어요
그런데 서랍 맨윗칸 세개에 까만색이 바닥에 깔려져 있는데 닦아도 닦아도 까만색이 계속 묻어져 나오네요
옷넣으려면 뭐 하나 깔고 넣어야 겠어요",slbi****,21.03.02.,1,서랍장,침실가구
,,,,,,,
24,5,"강남 미라지 가구 매장에도 가봤었는데
너무 예뻐서 사고싶었는데 
흰색이 없어서 인터넷에서 겨우 찾아서 샀어요!
매장에 갔을 때에는 중국산이랑 베트남..? 두군데에서 생산하는데 중국산은 돌려보낸다고 하더라구요
근데 저희는 중국산도 상관없을 것 같아서 그냥 인터넷에서 시켰어요
생각보다 배송도 일찍 되어서 좋았어요 ㅎㅎ
저희는 서울 중구 쪽이라 수요일에만 배송이 된다고 했는데 그 다음주에 바로 왔네용 ㅎㅎ
5만원 추가하고 유리도 신청했는데 하길 잘 한 것 같아요~
더 오래 쓸 수 있고 깨끗하게 쓸 수 있을 것 같네용 ㅎ
저희는 티비장으로 쓰려고 샀어요!",9yum****,21.02.12.,1,서랍장,침실가구
,,,,,,,
25,5,"안녕하세요~~
가구주문까지  한잘걸렸나봐요~
디자인예쁘고 실용성이 좋아서 주문하려다
배송도오래걸린다는 냄새가많이 난다능
마감처리가 안좋다는  물론 좋다는평도
있었구요 그래서 고민하다
늦게주문했어요 그런데   고민한 시간이 
너무 아까울정도로  너무 좋아요ㅎㅎ
배송도 예정했던 날짜보다 빨리왔구요
배송기사님들도 친절하게 조심스럽게
다뤄주셨고 더없이 좋은것은
예상보다 가구냄새가 적어서 걱정과달리
거의 냄사제로였어요
물론 디자인이 너무ㅈ예뻐서 
더없이 좋구요~^^
5단3단 두가지 다 주문했는데 방이
화사해지고  넓어보이고  품격이 ㅋㅋ
달라진기분?
가격좋구 디자인좋구 서랍도 기존서랍보다 더 들어갔어요~^^
가성비갑이라던데 진짜예요
좋은가격에   초이스잘한것같아요
감사해용~~~^^",ssun****,21.01.20.,1,서랍장,침실가구
,,,,,,,
26,5,새하얗고 정말 너무 예뻐요 ㅠㅠ,lhh9****,21.03.27.,1,서랍장,침실가구
,,,,,,,
27,5,빠르고 좋아요 상품만족입니다,diva****,21.04.06.,1,서랍장,침실가구
,,,,,,,
28,5,붙박이 화장대 철거후 도배하고 가구들였는데 너무 예뻐요,byr0****,21.03.19.,1,서랍장,침실가구
,,,,,,,
29,5,"너무 예쁘네요 사진만보고
좀걱정했는데  화장대 받아보니  만족스러워요
사진보다 실물이  훨신  더좋은데요
서랍수납도  잘되있네요  강추임다",laur****,21.02.24.,1,서랍장,침실가구
,,,,,,,
30,5,수납력 최고예요. 게다가 드래그 방식이라 스윽 꺼내기도 편하네요. 색감도 인테리어랑 잘 어울리구 여러모로 매우 만족입니다.,neli****,21.02.28.,1,서랍장,침실가구
,,,,,,,
31,3,실물이 화면과 같네요 다만 이삿날로 사다리차로 올리고 싶어 지정했는데 일방적으로 안된다고 하셔서 계단으로 올렸다고 운송비를 2만원 더 받았어요,spea****,21.03.04.,1,서랍장,침실가구
,,,,,,,
32,5,"너무예쁘네요
거울까지 같이 구매할걸 후회중이네요",ju09****,21.04.04.,1,서랍장,침실가구
,,,,,,,
33,5,생각보다 사이즈가 커서 낙낙하게 옷이 잘들어갈것같아요,just****,21.03.12.,1,서랍장,침실가구
,,,,,,,
34,2,얼룩도 잇고 스크래치도 쉽게 나요 스크래치 나면 검은색으로 나는데 진짜.. 위에다 뭐 깔고 써야할거 같아요..;남편이 그냥 쓰자고 해서 쓰는데.. 좀 실망이 커요,dhlr****,21.02.22.,1,서랍장,침실가구
,,,,,,,
35,3,이쁜데 냄새가좀심해요,www7****,21.04.02.,1,서랍장,침실가구
,,,,,,,
36,5,맘에들어요.배송은느림,krnu****,21.03.10.,1,서랍장,침실가구
,,,,,,,
37,5,배송잘왔구 너무만족스럽습니다 너무예뻐요ㅋㅋ기사님도친절해요,wndn****,21.03.24.,1,서랍장,침실가구
,,,,,,,
38,5,"해외이주에 해운이사로 싣고가려 주문했었는데  요청날짜에 잘배송해주셨고  서랍여닫고 확인시 덜컹이는 부분 얘기하니 바로 나사가 덜조여져서 그렇다고 고쳐주셨어요.
상품은 사실 그레이가 혼장있음 촌스러울까 걱정했는데  오히려 분위기 업해주는 고급스러움이 있어요. 신랑도 애들도 한마디씩 멋있다고 거드네요. 크기도 숫자로 보고예상한것보다 크고 많이들어가요.
한국 다시들어옴 미라지로 도배할 맘이 가득드네요.",shin****,21.01.19.,1,서랍장,침실가구
,,,,,,,
39,5,예뻐요예뽀요옙버요ㅛ,qw22****,21.04.04.,1,서랍장,침실가구
,,,,,,,
40,4,생각보다 크고 밝은 화이트 색상이였습니다~ 수납은 많이 되는 것 같아 좋아요. 다만 배송지연이 두 번이나 있었는데 두번이나 하루 전에 통보식으로 내일 못간다고 하니 너무 화가 났었습니다.. 서랍장도 서랍간 규격이 안맞고 페인트뭉침이 있으나 교환 시2주 이상이라고 하셔서 그냥 사용합니다 ㅠㅠ 가격대비는 괜찮은 것 같습니다 거울 유리 배송 총55정도인것 같네요,e_ez****,21.01.29.,1,서랍장,침실가구
,,,,,,,
41,5,사진보다 실물이 훨씬 이뻐요,ghd2****,21.03.05.,1,서랍장,침실가구
,,,,,,,
