review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,4,가구를 세트로 구입해서  잘 쓰고있어요. 협탁도 추가 구매했어요.같이 구매한 협탁도 같이 올려요,irud****,19.12.10.,13,침실세트,침실가구
,,,,,,,
2,4,아 사진보다 색감이 정말 이뻐요.같이구입한 서랍세트 서랍 일부가 다른거와 달리 빡빡해서 별하나 뺏어요. 침대는 생각보다  단이 낮아요. 참고하세요,irud****,19.11.09.,13,침실세트,침실가구
,,,,,,,
3,4,침대랑 같이 샀는데 실물이 더 이뻐요. 서랍 일부  빡빡해서 별하나 뺐어요.,irud****,19.11.09.,13,침실세트,침실가구
,,,,,,,
4,4,맘에 들어 협탁도 추가 구입했어요.,irud****,19.12.10.,13,침실세트,침실가구
,,,,,,,
5,5,상품평이 좋아서 혹시나 하고 구매했는데 정말 좋아요 ^^   배송은  한달좀  못되게  오래오래걸렸습니다    아산이라 배송비가6만원인거  빼고는  무지 매우 만족 합니다~ 강추^^,blue****,19.11.09.,13,침실세트,침실가구
,,,,,,,
6,5,이사하면서 산 가구중에 가장 만족스러워요,kang****,19.08.07.,13,침실세트,침실가구
,,,,,,,
7,5,깔끔하고 이쁘네요..,m981****,19.08.20.,13,침실세트,침실가구
,,,,,,,
8,5,"더운날 땀 뻘뻘흘려가며 이사했는데

기사님 덕분에 기분좋게 가구 받았습니다.
배송일정도 맞춰주셨고 상품도 견고하다못해 어마무시하게 튼튼합니다.
화장대도 거울도 집안분위기 살리는데 한몫 했습니다",kang****,19.06.16.,13,침실세트,침실가구
,,,,,,,
9,5,"정말 예쁜 가구입니다
협탁은 구매안했는데 당장 살예정이예요",kang****,19.06.16.,13,침실세트,침실가구
