review_no,star,review,customerId,reviewDate,pd_no,bedcate_no,category_no
,,,,,,,
1,4,"사이즈 딱 좋아여! 가격대비 굿굿! 
페인트펜까지 있어서 그림도 그리고 ??
근데 다만 힘이 없어서 오자마자 아래가 툭-
그래서 아래만 다시 해서 사용중이에용",zjff****,21.03.20.,0,거울,침실가구
,,,,,,,
2,5,"사무싷 책상에 놓고 보기 참 좋은 사이즈에요 
다른곳보다 저렴합니다",naki****,21.03.25.,0,거울,침실가구
,,,,,,,
3,5,잘쓰고있어요!~맘에들어요,kim1****,21.03.24.,0,거울,침실가구
,,,,,,,
4,5,예뻐요! 이런 가격에 마카까지 주시다니 너무 좋네요 캠핑장 들고다니려고 삿어요 근데 한번 글씨쓴게 굳으니까 엄청 안지워지더라구요 앞으론 신중하게 써야겟어요,llld****,21.02.23.,0,거울,침실가구
,,,,,,,
5,1,각도 조절을 바라면 안되요. 거울 무게감때문에 조금만 젖혀지면 뒤로 쿵; 거울님 앞에두고 사람몸이 움직여야함,cand****,21.03.25.,0,거울,침실가구
,,,,,,,
6,5,화면보다 색이 어둡긴한데 그냥 가격대비 쓸만해요,fink****,21.03.15.,0,거울,침실가구
,,,,,,,
7,5,"귀엽고 이뻐요 선물용으로좋아요 
너무친절하세요♡♡♡♡♡",but2****,21.03.28.,0,거울,침실가구
,,,,,,,
8,5,손바닥만한 거울보다가 이걸로 보니 얼굴이 다 들어와서 좋네요..,kath****,21.03.10.,0,거울,침실가구
,,,,,,,
9,5,넘 맘에들어요!! 저렴한가격에 마카까지!!,rlad****,21.03.10.,0,거울,침실가구
,,,,,,,
10,5,생각한 것보다 훨씬 예뻐요. 거울도 선명하고 꾸밀 수 있는 화이트펜이 있는것도 좋아요!! 이 가격에 이 퀄리티라니 믿겨지지 않아요. 가성비 갑입니다. 재구매의사 100%,sn99****,21.02.20.,0,거울,침실가구
,,,,,,,
11,5,생각보다 거울이 작아보이긴 하지만 깔끔하게 예뻐요~,so11****,21.03.03.,0,거울,침실가구
,,,,,,,
12,5,선물받은 분이 너무 마음에 든다고 인스타에 사진까지 올리신거 캡처해서 올려요 ㅋㅋㅋ상품설명이랑 딱 동일해요 맘에들어요 :),zjaa****,21.02.22.,0,거울,침실가구
,,,,,,,
13,3,우드가 살짝 까여서 아쉬웠지만 낙서하는 재미도 있고 할인가격에 잘 산거 같아요,eunh****,21.02.22.,0,거울,침실가구
,,,,,,,
14,4,글씨 쓸수있는게 감성돋고 좋아요! 거울 각도 조절은 되는데 고정이 잘 안되요ㅠ,chch****,21.03.15.,0,거울,침실가구
,,,,,,,
